writing time step 77  t = 0.019999999999999997
writing time step 154  t = 0.0399999999999999
writing time step 231  t = 0.0599999999999998
writing time step 308  t = 0.08000000000000017
writing time step 385  t = 0.1000000000000006
writing time step 462  t = 0.12000000000000104
writing time step 539  t = 0.14000000000000146
writing time step 616  t = 0.1600000000000019
writing time step 693  t = 0.18000000000000232
writing time step 770  t = 0.20000000000000276
writing time step 847  t = 0.2200000000000032
writing time step 924  t = 0.24000000000000363
writing time step 1001  t = 0.260000000000003
writing time step 1078  t = 0.2800000000000013
writing time step 1155  t = 0.2999999999999996
writing time step 1232  t = 0.3199999999999979
writing time step 1309  t = 0.3399999999999962
writing time step 1386  t = 0.3599999999999945
writing time step 1463  t = 0.3799999999999928
writing time step 1540  t = 0.3999999999999911
writing time step 1617  t = 0.4199999999999894
writing time step 1694  t = 0.4399999999999877
writing time step 1771  t = 0.459999999999986
writing time step 1848  t = 0.4799999999999843
writing time step 1925  t = 0.49999999999998257
writing time step 2002  t = 0.5199999999999851
writing time step 2079  t = 0.5399999999999877
writing time step 2156  t = 0.5599999999999903
writing time step 2233  t = 0.5799999999999929
writing time step 2310  t = 0.5999999999999954
writing time step 2387  t = 0.619999999999998
writing time step 2464  t = 0.6400000000000006
writing time step 2541  t = 0.6600000000000031
writing time step 2618  t = 0.6800000000000057
writing time step 2695  t = 0.7000000000000083
writing time step 2772  t = 0.7200000000000109
writing time step 2849  t = 0.7400000000000134
writing time step 2926  t = 0.760000000000016
writing time step 3003  t = 0.7800000000000186
writing time step 3080  t = 0.8000000000000211
writing time step 3157  t = 0.8200000000000237
writing time step 3234  t = 0.8400000000000263
writing time step 3311  t = 0.8600000000000289
writing time step 3388  t = 0.8800000000000314
writing time step 3465  t = 0.900000000000034
writing time step 3542  t = 0.9200000000000366
writing time step 3619  t = 0.9400000000000391
writing time step 3696  t = 0.9600000000000417
writing time step 3773  t = 0.9800000000000443
writing time step 3850  t = 1.0000000000000469
writing time step 3927  t = 1.0200000000000409
writing time step 4004  t = 1.040000000000035
writing time step 4081  t = 1.060000000000029
writing time step 4158  t = 1.080000000000023
writing time step 4235  t = 1.100000000000017
writing time step 4312  t = 1.120000000000011
writing time step 4389  t = 1.140000000000005
writing time step 4466  t = 1.159999999999999
writing time step 4543  t = 1.179999999999993
writing time step 4620  t = 1.199999999999987
writing time step 4697  t = 1.219999999999981
writing time step 4774  t = 1.2399999999999751
writing time step 4851  t = 1.2599999999999691
writing time step 4928  t = 1.2799999999999632
writing time step 5005  t = 1.2999999999999572
writing time step 5082  t = 1.3199999999999512
writing time step 5159  t = 1.3399999999999452
writing time step 5236  t = 1.3599999999999393
writing time step 5313  t = 1.3799999999999333
writing time step 5390  t = 1.3999999999999273
writing time step 5467  t = 1.4199999999999213
writing time step 5544  t = 1.4399999999999153
writing time step 5621  t = 1.4599999999999094
writing time step 5698  t = 1.4799999999999034
writing time step 5775  t = 1.4999999999998974
writing time step 5852  t = 1.5199999999998914
writing time step 5929  t = 1.5399999999998855
writing time step 6006  t = 1.5599999999998795
writing time step 6083  t = 1.5799999999998735
writing time step 6160  t = 1.5999999999998675
writing time step 6237  t = 1.6199999999998616
writing time step 6314  t = 1.6399999999998556
writing time step 6391  t = 1.6599999999998496
writing time step 6468  t = 1.6799999999998436
writing time step 6545  t = 1.6999999999998376
writing time step 6622  t = 1.7199999999998317
writing time step 6699  t = 1.7399999999998257
writing time step 6776  t = 1.7599999999998197
writing time step 6853  t = 1.7799999999998137
writing time step 6930  t = 1.7999999999998078
writing time step 7007  t = 1.8199999999998018
writing time step 7084  t = 1.8399999999997958
writing time step 7161  t = 1.8599999999997898
writing time step 7238  t = 1.8799999999997838
writing time step 7315  t = 1.8999999999997779
writing time step 7392  t = 1.919999999999772
writing time step 7469  t = 1.939999999999766
writing time step 7546  t = 1.95999999999976
writing time step 7623  t = 1.979999999999754
writing time step 7700  t = 1.999999999999748
