writing time step 21  t = 0.019999999999999997
writing time step 42  t = 0.04
writing time step 63  t = 0.060000000000000046
writing time step 84  t = 0.08000000000000008
writing time step 105  t = 0.10000000000000013
writing time step 126  t = 0.12000000000000018
writing time step 147  t = 0.1400000000000002
writing time step 168  t = 0.16000000000000025
writing time step 189  t = 0.1800000000000003
writing time step 210  t = 0.20000000000000034
writing time step 231  t = 0.2200000000000004
writing time step 252  t = 0.24000000000000044
writing time step 273  t = 0.2600000000000002
writing time step 294  t = 0.27999999999999964
writing time step 315  t = 0.2999999999999991
writing time step 336  t = 0.31999999999999856
writing time step 357  t = 0.339999999999998
writing time step 378  t = 0.3599999999999975
writing time step 399  t = 0.37999999999999695
writing time step 420  t = 0.3999999999999964
writing time step 441  t = 0.4199999999999959
writing time step 462  t = 0.43999999999999534
writing time step 483  t = 0.4599999999999948
writing time step 504  t = 0.47999999999999426
writing time step 525  t = 0.4999999999999937
writing time step 546  t = 0.5199999999999932
writing time step 567  t = 0.5399999999999927
writing time step 588  t = 0.5599999999999922
writing time step 609  t = 0.5799999999999916
writing time step 630  t = 0.5999999999999911
writing time step 651  t = 0.6199999999999906
writing time step 672  t = 0.63999999999999
writing time step 693  t = 0.6599999999999895
writing time step 714  t = 0.679999999999989
writing time step 735  t = 0.6999999999999884
writing time step 756  t = 0.7199999999999879
writing time step 777  t = 0.7399999999999873
writing time step 798  t = 0.7599999999999868
writing time step 819  t = 0.7799999999999863
writing time step 840  t = 0.7999999999999857
writing time step 861  t = 0.8199999999999852
writing time step 882  t = 0.8399999999999846
writing time step 903  t = 0.8599999999999841
writing time step 924  t = 0.8799999999999836
writing time step 945  t = 0.899999999999983
writing time step 966  t = 0.9199999999999825
writing time step 987  t = 0.939999999999982
writing time step 1008  t = 0.9599999999999814
writing time step 1029  t = 0.9799999999999809
writing time step 1050  t = 0.9999999999999803
writing time step 1071  t = 1.019999999999982
writing time step 1092  t = 1.0399999999999838
writing time step 1113  t = 1.0599999999999856
writing time step 1134  t = 1.0799999999999874
writing time step 1155  t = 1.0999999999999892
writing time step 1176  t = 1.119999999999991
writing time step 1197  t = 1.1399999999999928
writing time step 1218  t = 1.1599999999999946
writing time step 1239  t = 1.1799999999999964
writing time step 1260  t = 1.1999999999999982
writing time step 1281  t = 1.22
writing time step 1302  t = 1.2400000000000018
writing time step 1323  t = 1.2600000000000036
writing time step 1344  t = 1.2800000000000054
writing time step 1365  t = 1.3000000000000071
writing time step 1386  t = 1.320000000000009
writing time step 1407  t = 1.3400000000000107
writing time step 1428  t = 1.3600000000000125
writing time step 1449  t = 1.3800000000000143
writing time step 1470  t = 1.4000000000000161
writing time step 1491  t = 1.420000000000018
writing time step 1512  t = 1.4400000000000197
writing time step 1533  t = 1.4600000000000215
writing time step 1554  t = 1.4800000000000233
writing time step 1575  t = 1.500000000000025
writing time step 1596  t = 1.5200000000000269
writing time step 1617  t = 1.5400000000000287
writing time step 1638  t = 1.5600000000000305
writing time step 1659  t = 1.5800000000000323
writing time step 1680  t = 1.600000000000034
writing time step 1701  t = 1.6200000000000359
writing time step 1722  t = 1.6400000000000376
writing time step 1743  t = 1.6600000000000394
writing time step 1764  t = 1.6800000000000412
writing time step 1785  t = 1.700000000000043
writing time step 1806  t = 1.7200000000000448
writing time step 1827  t = 1.7400000000000466
writing time step 1848  t = 1.7600000000000484
writing time step 1869  t = 1.7800000000000502
writing time step 1890  t = 1.800000000000052
writing time step 1911  t = 1.8200000000000538
writing time step 1932  t = 1.8400000000000556
writing time step 1953  t = 1.8600000000000574
writing time step 1974  t = 1.8800000000000592
writing time step 1995  t = 1.900000000000061
writing time step 2016  t = 1.9200000000000628
writing time step 2037  t = 1.9400000000000646
writing time step 2058  t = 1.9600000000000664
writing time step 2079  t = 1.9800000000000681
writing time step 2100  t = 2.0
