writing time step 452  t = 0.020178571428571553
writing time step 904  t = 0.040357142857142515
writing time step 1356  t = 0.06053571428571262
writing time step 1808  t = 0.08071428571428273
writing time step 2260  t = 0.10089285714285283
writing time step 2712  t = 0.12107142857142293
writing time step 3164  t = 0.14124999999999807
writing time step 3616  t = 0.16142857142857445
writing time step 4068  t = 0.18160714285715082
writing time step 4520  t = 0.2017857142857272
writing time step 4972  t = 0.22196428571430357
writing time step 5424  t = 0.24214285714287995
writing time step 5876  t = 0.26232142857144863
writing time step 6328  t = 0.28250000000001246
writing time step 6780  t = 0.3026785714285763
writing time step 7232  t = 0.3228571428571401
writing time step 7684  t = 0.34303571428570395
writing time step 8136  t = 0.3632142857142678
writing time step 8588  t = 0.3833928571428316
writing time step 9040  t = 0.40357142857139544
writing time step 9492  t = 0.42374999999995927
writing time step 9944  t = 0.4439285714285231
writing time step 10396  t = 0.46410714285708693
writing time step 10848  t = 0.48428571428565076
writing time step 11300  t = 0.5044642857142201
writing time step 11752  t = 0.524642857142809
writing time step 12204  t = 0.5448214285713979
writing time step 12656  t = 0.5649999999999868
writing time step 13108  t = 0.5851785714285758
writing time step 13560  t = 0.6053571428571647
writing time step 14012  t = 0.6255357142857536
writing time step 14464  t = 0.6457142857143425
writing time step 14916  t = 0.6658928571429314
writing time step 15368  t = 0.6860714285715204
writing time step 15820  t = 0.7062500000001093
writing time step 16272  t = 0.7264285714286982
writing time step 16724  t = 0.7466071428572871
writing time step 17176  t = 0.766785714285876
writing time step 17628  t = 0.786964285714465
writing time step 18080  t = 0.8071428571430539
writing time step 18532  t = 0.8273214285716428
writing time step 18984  t = 0.8475000000002317
writing time step 19436  t = 0.8676785714288207
writing time step 19888  t = 0.8878571428574096
writing time step 20340  t = 0.9080357142859985
writing time step 20792  t = 0.9282142857145874
writing time step 21244  t = 0.9483928571431763
writing time step 21696  t = 0.9685714285717653
writing time step 22148  t = 0.9887500000003542
writing time step 22600  t = 1.008928571428921
writing time step 23052  t = 1.0291071428574596
writing time step 23504  t = 1.0492857142859984
writing time step 23956  t = 1.069464285714537
writing time step 24408  t = 1.0896428571430758
writing time step 24860  t = 1.1098214285716146
writing time step 25312  t = 1.1300000000001533
writing time step 25764  t = 1.150178571428692
writing time step 26216  t = 1.1703571428572308
writing time step 26668  t = 1.1905357142857695
writing time step 27120  t = 1.2107142857143083
writing time step 27572  t = 1.230892857142847
writing time step 28024  t = 1.2510714285713858
writing time step 28476  t = 1.2712499999999245
writing time step 28928  t = 1.2914285714284632
writing time step 29380  t = 1.311607142857002
writing time step 29832  t = 1.3317857142855407
writing time step 30284  t = 1.3519642857140795
writing time step 30736  t = 1.3721428571426182
writing time step 31188  t = 1.392321428571157
writing time step 31640  t = 1.4124999999996957
writing time step 32092  t = 1.4326785714282344
writing time step 32544  t = 1.4528571428567731
writing time step 32996  t = 1.4730357142853119
writing time step 33448  t = 1.4932142857138506
writing time step 33900  t = 1.5133928571423894
writing time step 34352  t = 1.533571428570928
writing time step 34804  t = 1.5537499999994668
writing time step 35256  t = 1.5739285714280056
writing time step 35708  t = 1.5941071428565443
writing time step 36160  t = 1.614285714285083
writing time step 36612  t = 1.6344642857136218
writing time step 37064  t = 1.6546428571421605
writing time step 37516  t = 1.6748214285706993
writing time step 37968  t = 1.694999999999238
writing time step 38420  t = 1.7151785714277767
writing time step 38872  t = 1.7353571428563155
writing time step 39324  t = 1.7555357142848542
writing time step 39776  t = 1.775714285713393
writing time step 40228  t = 1.7958928571419317
writing time step 40680  t = 1.8160714285704704
writing time step 41132  t = 1.8362499999990092
writing time step 41584  t = 1.856428571427548
writing time step 42036  t = 1.8766071428560867
writing time step 42488  t = 1.8967857142846254
writing time step 42940  t = 1.9169642857131641
writing time step 43392  t = 1.9371428571417029
writing time step 43844  t = 1.9573214285702416
writing time step 44296  t = 1.9774999999987803
writing time step 44748  t = 1.997678571427319
