writing time step 63  t = 0.01999999999999998
writing time step 126  t = 0.04000000000000005
writing time step 189  t = 0.06000000000000024
writing time step 252  t = 0.08000000000000004
writing time step 315  t = 0.0999999999999998
writing time step 378  t = 0.11999999999999955
writing time step 441  t = 0.13999999999999996
writing time step 504  t = 0.1600000000000006
writing time step 567  t = 0.18000000000000121
writing time step 630  t = 0.20000000000000184
writing time step 693  t = 0.22000000000000247
writing time step 756  t = 0.2400000000000031
writing time step 819  t = 0.26000000000000373
writing time step 882  t = 0.28000000000000436
writing time step 945  t = 0.300000000000005
writing time step 1008  t = 0.3200000000000056
writing time step 1071  t = 0.34000000000000624
writing time step 1134  t = 0.36000000000000687
writing time step 1197  t = 0.3800000000000075
writing time step 1260  t = 0.4000000000000081
writing time step 1323  t = 0.42000000000000876
writing time step 1386  t = 0.4400000000000094
writing time step 1449  t = 0.46000000000001
writing time step 1512  t = 0.48000000000001064
writing time step 1575  t = 0.5000000000000112
writing time step 1638  t = 0.5200000000000083
writing time step 1701  t = 0.5400000000000055
writing time step 1764  t = 0.5600000000000026
writing time step 1827  t = 0.5799999999999997
writing time step 1890  t = 0.5999999999999969
writing time step 1953  t = 0.619999999999994
writing time step 2016  t = 0.6399999999999911
writing time step 2079  t = 0.6599999999999883
writing time step 2142  t = 0.6799999999999854
writing time step 2205  t = 0.6999999999999825
writing time step 2268  t = 0.7199999999999797
writing time step 2331  t = 0.7399999999999768
writing time step 2394  t = 0.7599999999999739
writing time step 2457  t = 0.779999999999971
writing time step 2520  t = 0.7999999999999682
writing time step 2583  t = 0.8199999999999653
writing time step 2646  t = 0.8399999999999624
writing time step 2709  t = 0.8599999999999596
writing time step 2772  t = 0.8799999999999567
writing time step 2835  t = 0.8999999999999538
writing time step 2898  t = 0.919999999999951
writing time step 2961  t = 0.9399999999999481
writing time step 3024  t = 0.9599999999999452
writing time step 3087  t = 0.9799999999999424
writing time step 3150  t = 0.9999999999999395
writing time step 3213  t = 1.0199999999999367
writing time step 3276  t = 1.0399999999999339
writing time step 3339  t = 1.059999999999931
writing time step 3402  t = 1.0799999999999281
writing time step 3465  t = 1.0999999999999253
writing time step 3528  t = 1.1199999999999224
writing time step 3591  t = 1.1399999999999195
writing time step 3654  t = 1.1599999999999167
writing time step 3717  t = 1.1799999999999138
writing time step 3780  t = 1.199999999999911
writing time step 3843  t = 1.219999999999908
writing time step 3906  t = 1.2399999999999052
writing time step 3969  t = 1.2599999999999023
writing time step 4032  t = 1.2799999999998994
writing time step 4095  t = 1.2999999999998966
writing time step 4158  t = 1.3199999999998937
writing time step 4221  t = 1.3399999999998908
writing time step 4284  t = 1.359999999999888
writing time step 4347  t = 1.379999999999885
writing time step 4410  t = 1.3999999999998822
writing time step 4473  t = 1.4199999999998794
writing time step 4536  t = 1.4399999999998765
writing time step 4599  t = 1.4599999999998736
writing time step 4662  t = 1.4799999999998708
writing time step 4725  t = 1.4999999999998679
writing time step 4788  t = 1.519999999999865
writing time step 4851  t = 1.5399999999998621
writing time step 4914  t = 1.5599999999998593
writing time step 4977  t = 1.5799999999998564
writing time step 5040  t = 1.5999999999998535
writing time step 5103  t = 1.6199999999998507
writing time step 5166  t = 1.6399999999998478
writing time step 5229  t = 1.659999999999845
writing time step 5292  t = 1.679999999999842
writing time step 5355  t = 1.6999999999998392
writing time step 5418  t = 1.7199999999998363
writing time step 5481  t = 1.7399999999998335
writing time step 5544  t = 1.7599999999998306
writing time step 5607  t = 1.7799999999998277
writing time step 5670  t = 1.7999999999998249
writing time step 5733  t = 1.819999999999822
writing time step 5796  t = 1.8399999999998191
writing time step 5859  t = 1.8599999999998162
writing time step 5922  t = 1.8799999999998134
writing time step 5985  t = 1.8999999999998105
writing time step 6048  t = 1.9199999999998076
writing time step 6111  t = 1.9399999999998048
writing time step 6174  t = 1.959999999999802
writing time step 6237  t = 1.979999999999799
writing time step 6300  t = 1.9999999999997962
