writing time step 181  t = 0.02011111111111105
writing time step 362  t = 0.04022222222222204
writing time step 543  t = 0.06033333333333303
writing time step 724  t = 0.08044444444444514
writing time step 905  t = 0.10055555555555738
writing time step 1086  t = 0.12066666666666963
writing time step 1267  t = 0.14077777777778186
writing time step 1448  t = 0.1608888888888941
writing time step 1629  t = 0.18100000000000635
writing time step 1810  t = 0.2011111111111186
writing time step 1991  t = 0.22122222222223084
writing time step 2172  t = 0.2413333333333431
writing time step 2353  t = 0.2614444444444553
writing time step 2534  t = 0.28155555555556755
writing time step 2715  t = 0.3016666666666798
writing time step 2896  t = 0.32177777777779204
writing time step 3077  t = 0.3418888888889043
writing time step 3258  t = 0.36200000000001653
writing time step 3439  t = 0.3821111111111288
writing time step 3620  t = 0.402222222222241
writing time step 3801  t = 0.42233333333335327
writing time step 3982  t = 0.4424444444444655
writing time step 4163  t = 0.46255555555557776
writing time step 4344  t = 0.48266666666669
writing time step 4525  t = 0.5027777777778009
writing time step 4706  t = 0.5228888888889031
writing time step 4887  t = 0.5430000000000053
writing time step 5068  t = 0.5631111111111075
writing time step 5249  t = 0.5832222222222097
writing time step 5430  t = 0.6033333333333118
writing time step 5611  t = 0.623444444444414
writing time step 5792  t = 0.6435555555555162
writing time step 5973  t = 0.6636666666666184
writing time step 6154  t = 0.6837777777777206
writing time step 6335  t = 0.7038888888888228
writing time step 6516  t = 0.723999999999925
writing time step 6697  t = 0.7441111111110272
writing time step 6878  t = 0.7642222222221294
writing time step 7059  t = 0.7843333333332316
writing time step 7240  t = 0.8044444444443338
writing time step 7421  t = 0.824555555555436
writing time step 7602  t = 0.8446666666665382
writing time step 7783  t = 0.8647777777776404
writing time step 7964  t = 0.8848888888887426
writing time step 8145  t = 0.9049999999998448
writing time step 8326  t = 0.925111111110947
writing time step 8507  t = 0.9452222222220492
writing time step 8688  t = 0.9653333333331514
writing time step 8869  t = 0.9854444444442536
writing time step 9050  t = 1.0055555555553612
writing time step 9231  t = 1.0256666666664835
writing time step 9412  t = 1.0457777777776058
writing time step 9593  t = 1.0658888888887281
writing time step 9774  t = 1.0859999999998504
writing time step 9955  t = 1.1061111111109727
writing time step 10136  t = 1.126222222222095
writing time step 10317  t = 1.1463333333332173
writing time step 10498  t = 1.1664444444443396
writing time step 10679  t = 1.1865555555554619
writing time step 10860  t = 1.2066666666665842
writing time step 11041  t = 1.2267777777777065
writing time step 11222  t = 1.2468888888888288
writing time step 11403  t = 1.266999999999951
writing time step 11584  t = 1.2871111111110733
writing time step 11765  t = 1.3072222222221956
writing time step 11946  t = 1.327333333333318
writing time step 12127  t = 1.3474444444444402
writing time step 12308  t = 1.3675555555555625
writing time step 12489  t = 1.3876666666666848
writing time step 12670  t = 1.407777777777807
writing time step 12851  t = 1.4278888888889294
writing time step 13032  t = 1.4480000000000517
writing time step 13213  t = 1.468111111111174
writing time step 13394  t = 1.4882222222222963
writing time step 13575  t = 1.5083333333334186
writing time step 13756  t = 1.5284444444445409
writing time step 13937  t = 1.5485555555556632
writing time step 14118  t = 1.5686666666667854
writing time step 14299  t = 1.5887777777779077
writing time step 14480  t = 1.60888888888903
writing time step 14661  t = 1.6290000000001523
writing time step 14842  t = 1.6491111111112746
writing time step 15023  t = 1.669222222222397
writing time step 15204  t = 1.6893333333335192
writing time step 15385  t = 1.7094444444446415
writing time step 15566  t = 1.7295555555557638
writing time step 15747  t = 1.749666666666886
writing time step 15928  t = 1.7697777777780084
writing time step 16109  t = 1.7898888888891307
writing time step 16290  t = 1.810000000000253
writing time step 16471  t = 1.8301111111113753
writing time step 16652  t = 1.8502222222224975
writing time step 16833  t = 1.8703333333336198
writing time step 17014  t = 1.8904444444447421
writing time step 17195  t = 1.9105555555558644
writing time step 17376  t = 1.9306666666669867
writing time step 17557  t = 1.950777777778109
writing time step 17738  t = 1.9708888888892313
writing time step 17919  t = 1.9910000000003536
