writing time step 226  t = 0.020178571428571438
writing time step 452  t = 0.040357142857143105
writing time step 678  t = 0.060535714285714776
writing time step 904  t = 0.08071428571428503
writing time step 1130  t = 0.10089285714285513
writing time step 1356  t = 0.12107142857142524
writing time step 1582  t = 0.14124999999999535
writing time step 1808  t = 0.16142857142856545
writing time step 2034  t = 0.18160714285713556
writing time step 2260  t = 0.20178571428570566
writing time step 2486  t = 0.22196428571427576
writing time step 2712  t = 0.24214285714284586
writing time step 2938  t = 0.26232142857141977
writing time step 3164  t = 0.28249999999999614
writing time step 3390  t = 0.3026785714285725
writing time step 3616  t = 0.3228571428571489
writing time step 3842  t = 0.34303571428572527
writing time step 4068  t = 0.36321428571430164
writing time step 4294  t = 0.383392857142878
writing time step 4520  t = 0.4035714285714544
writing time step 4746  t = 0.42375000000003077
writing time step 4972  t = 0.44392857142860714
writing time step 5198  t = 0.4641071428571835
writing time step 5424  t = 0.4842857142857599
writing time step 5650  t = 0.5044642857143334
writing time step 5876  t = 0.5246428571428973
writing time step 6102  t = 0.5448214285714611
writing time step 6328  t = 0.5650000000000249
writing time step 6554  t = 0.5851785714285888
writing time step 6780  t = 0.6053571428571526
writing time step 7006  t = 0.6255357142857164
writing time step 7232  t = 0.6457142857142802
writing time step 7458  t = 0.6658928571428441
writing time step 7684  t = 0.6860714285714079
writing time step 7910  t = 0.7062499999999717
writing time step 8136  t = 0.7264285714285356
writing time step 8362  t = 0.7466071428570994
writing time step 8588  t = 0.7667857142856632
writing time step 8814  t = 0.786964285714227
writing time step 9040  t = 0.8071428571427909
writing time step 9266  t = 0.8273214285713547
writing time step 9492  t = 0.8474999999999185
writing time step 9718  t = 0.8676785714284824
writing time step 9944  t = 0.8878571428570462
writing time step 10170  t = 0.90803571428561
writing time step 10396  t = 0.9282142857141739
writing time step 10622  t = 0.9483928571427377
writing time step 10848  t = 0.9685714285713015
writing time step 11074  t = 0.9887499999998653
writing time step 11300  t = 1.0089285714284402
writing time step 11526  t = 1.029107142857029
writing time step 11752  t = 1.049285714285618
writing time step 11978  t = 1.069464285714207
writing time step 12204  t = 1.0896428571427959
writing time step 12430  t = 1.1098214285713848
writing time step 12656  t = 1.1299999999999737
writing time step 12882  t = 1.1501785714285626
writing time step 13108  t = 1.1703571428571515
writing time step 13334  t = 1.1905357142857405
writing time step 13560  t = 1.2107142857143294
writing time step 13786  t = 1.2308928571429183
writing time step 14012  t = 1.2510714285715072
writing time step 14238  t = 1.2712500000000961
writing time step 14464  t = 1.291428571428685
writing time step 14690  t = 1.311607142857274
writing time step 14916  t = 1.331785714285863
writing time step 15142  t = 1.3519642857144518
writing time step 15368  t = 1.3721428571430407
writing time step 15594  t = 1.3923214285716297
writing time step 15820  t = 1.4125000000002186
writing time step 16046  t = 1.4326785714288075
writing time step 16272  t = 1.4528571428573964
writing time step 16498  t = 1.4730357142859853
writing time step 16724  t = 1.4932142857145743
writing time step 16950  t = 1.5133928571431632
writing time step 17176  t = 1.533571428571752
writing time step 17402  t = 1.553750000000341
writing time step 17628  t = 1.57392857142893
writing time step 17854  t = 1.5941071428575189
writing time step 18080  t = 1.6142857142861078
writing time step 18306  t = 1.6344642857146967
writing time step 18532  t = 1.6546428571432856
writing time step 18758  t = 1.6748214285718745
writing time step 18984  t = 1.6950000000004635
writing time step 19210  t = 1.7151785714290524
writing time step 19436  t = 1.7353571428576413
writing time step 19662  t = 1.7555357142862302
writing time step 19888  t = 1.7757142857148192
writing time step 20114  t = 1.795892857143408
writing time step 20340  t = 1.816071428571997
writing time step 20566  t = 1.836250000000586
writing time step 20792  t = 1.8564285714291748
writing time step 21018  t = 1.8766071428577638
writing time step 21244  t = 1.8967857142863527
writing time step 21470  t = 1.9169642857149416
writing time step 21696  t = 1.9371428571435305
writing time step 21922  t = 1.9573214285721194
writing time step 22148  t = 1.9775000000007084
writing time step 22374  t = 1.9976785714292973
