writing time step 1131  t = 0.05049107142857042
writing time step 2262  t = 0.10098214285713854
writing time step 3393  t = 0.15147321428571486
writing time step 4524  t = 0.20196428571429867
writing time step 5655  t = 0.2524553571428809
writing time step 6786  t = 0.30294642857143333
writing time step 7917  t = 0.35343749999998575
writing time step 9048  t = 0.40392857142853816
writing time step 10179  t = 0.4544196428570906
writing time step 11310  t = 0.504910714285649
writing time step 12441  t = 0.5554017857142642
writing time step 13572  t = 0.6058928571428794
writing time step 14703  t = 0.6563839285714946
writing time step 15834  t = 0.7068750000001098
writing time step 16965  t = 0.757366071428725
writing time step 18096  t = 0.8078571428573402
writing time step 19227  t = 0.8583482142859554
writing time step 20358  t = 0.9088392857145706
writing time step 21489  t = 0.9593303571431858
writing time step 22620  t = 1.0098214285717766
writing time step 23751  t = 1.0603125000002662
writing time step 24882  t = 1.1108035714287559
writing time step 26013  t = 1.1612946428572455
writing time step 27144  t = 1.2117857142857351
writing time step 28275  t = 1.2622767857142247
writing time step 29406  t = 1.3127678571427144
writing time step 30537  t = 1.363258928571204
writing time step 31668  t = 1.4137499999996936
writing time step 32799  t = 1.4642410714281833
writing time step 33930  t = 1.514732142856673
writing time step 35061  t = 1.5652232142851625
writing time step 36192  t = 1.6157142857136522
writing time step 37323  t = 1.6662053571421418
writing time step 38454  t = 1.7166964285706314
writing time step 39585  t = 1.767187499999121
writing time step 40716  t = 1.8176785714276107
writing time step 41847  t = 1.8681696428561003
writing time step 42978  t = 1.91866071428459
writing time step 44109  t = 1.9691517857130796
writing time step 45240  t = 2.0196428571416667
writing time step 46371  t = 2.0701339285704075
writing time step 47502  t = 2.120624999999148
writing time step 48633  t = 2.171116071427889
writing time step 49764  t = 2.2216071428566297
writing time step 50895  t = 2.2720982142853705
writing time step 52026  t = 2.3225892857141113
writing time step 53157  t = 2.373080357142852
writing time step 54288  t = 2.423571428571593
writing time step 55419  t = 2.4740625000003336
writing time step 56550  t = 2.5245535714290743
writing time step 57681  t = 2.575044642857815
writing time step 58812  t = 2.625535714286556
writing time step 59943  t = 2.6760267857152966
writing time step 61074  t = 2.7265178571440374
writing time step 62205  t = 2.777008928572778
writing time step 63336  t = 2.827500000001519
writing time step 64467  t = 2.8779910714302597
writing time step 65598  t = 2.9284821428590004
writing time step 66729  t = 2.978973214287741
writing time step 67860  t = 3.029464285716482
writing time step 68991  t = 3.0799553571452227
writing time step 70122  t = 3.1304464285739635
writing time step 71253  t = 3.1809375000027043
writing time step 72384  t = 3.231428571431445
writing time step 73515  t = 3.281919642860186
writing time step 74646  t = 3.3324107142889265
writing time step 75777  t = 3.3829017857176673
writing time step 76908  t = 3.433392857146408
writing time step 78039  t = 3.483883928575149
writing time step 79170  t = 3.5343750000038896
writing time step 80301  t = 3.5848660714326304
writing time step 81432  t = 3.635357142861371
writing time step 82563  t = 3.685848214290112
writing time step 83694  t = 3.7363392857188527
writing time step 84825  t = 3.7868303571475934
writing time step 85956  t = 3.837321428576334
writing time step 87087  t = 3.887812500005075
writing time step 88218  t = 3.9383035714338157
writing time step 89349  t = 3.9887946428625565
writing time step 90480  t = 4.039285714290906
writing time step 91611  t = 4.0897767857191445
writing time step 92742  t = 4.140267857147383
writing time step 93873  t = 4.1907589285756215
writing time step 95004  t = 4.24125000000386
writing time step 96135  t = 4.2917410714320985
writing time step 97266  t = 4.342232142860337
writing time step 98397  t = 4.3927232142885755
writing time step 99528  t = 4.443214285716814
writing time step 100659  t = 4.4937053571450525
writing time step 101790  t = 4.544196428573291
writing time step 102921  t = 4.5946875000015295
writing time step 104052  t = 4.645178571429768
writing time step 105183  t = 4.6956696428580065
writing time step 106314  t = 4.746160714286245
writing time step 107445  t = 4.7966517857144835
writing time step 108576  t = 4.847142857142722
writing time step 109707  t = 4.8976339285709605
writing time step 110838  t = 4.948124999999199
writing time step 111969  t = 4.9986160714274375
