writing time step 35  t = 0.050000000000000044
writing time step 70  t = 0.10000000000000016
writing time step 105  t = 0.15000000000000002
writing time step 140  t = 0.19999999999999965
writing time step 175  t = 0.24999999999999928
writing time step 210  t = 0.2999999999999999
writing time step 245  t = 0.3500000000000005
writing time step 280  t = 0.4000000000000011
writing time step 315  t = 0.4500000000000017
writing time step 350  t = 0.5000000000000022
writing time step 385  t = 0.5500000000000028
writing time step 420  t = 0.6000000000000034
writing time step 455  t = 0.650000000000004
writing time step 490  t = 0.7000000000000046
writing time step 525  t = 0.7500000000000052
writing time step 560  t = 0.8000000000000058
writing time step 595  t = 0.8500000000000064
writing time step 630  t = 0.900000000000007
writing time step 665  t = 0.9500000000000076
writing time step 700  t = 1.0000000000000082
writing time step 735  t = 1.050000000000005
writing time step 770  t = 1.1000000000000016
writing time step 805  t = 1.1499999999999984
writing time step 840  t = 1.199999999999995
writing time step 875  t = 1.2499999999999918
writing time step 910  t = 1.2999999999999885
writing time step 945  t = 1.3499999999999852
writing time step 980  t = 1.399999999999982
writing time step 1015  t = 1.4499999999999786
writing time step 1050  t = 1.4999999999999754
writing time step 1085  t = 1.549999999999972
writing time step 1120  t = 1.5999999999999688
writing time step 1155  t = 1.6499999999999655
writing time step 1190  t = 1.6999999999999622
writing time step 1225  t = 1.749999999999959
writing time step 1260  t = 1.7999999999999556
writing time step 1295  t = 1.8499999999999523
writing time step 1330  t = 1.899999999999949
writing time step 1365  t = 1.9499999999999458
writing time step 1400  t = 1.9999999999999425
writing time step 1435  t = 2.0499999999999394
writing time step 1470  t = 2.099999999999936
writing time step 1505  t = 2.149999999999933
writing time step 1540  t = 2.1999999999999296
writing time step 1575  t = 2.2499999999999263
writing time step 1610  t = 2.299999999999923
writing time step 1645  t = 2.3499999999999197
writing time step 1680  t = 2.3999999999999164
writing time step 1715  t = 2.449999999999913
writing time step 1750  t = 2.49999999999991
writing time step 1785  t = 2.5499999999999066
writing time step 1820  t = 2.5999999999999033
writing time step 1855  t = 2.6499999999999
writing time step 1890  t = 2.6999999999998967
writing time step 1925  t = 2.7499999999998934
writing time step 1960  t = 2.79999999999989
writing time step 1995  t = 2.849999999999887
writing time step 2030  t = 2.8999999999998836
writing time step 2065  t = 2.9499999999998803
writing time step 2100  t = 2.999999999999877
writing time step 2135  t = 3.0499999999998737
writing time step 2170  t = 3.0999999999998704
writing time step 2205  t = 3.149999999999867
writing time step 2240  t = 3.199999999999864
writing time step 2275  t = 3.2499999999998606
writing time step 2310  t = 3.2999999999998573
writing time step 2345  t = 3.349999999999854
writing time step 2380  t = 3.3999999999998507
writing time step 2415  t = 3.4499999999998474
writing time step 2450  t = 3.499999999999844
writing time step 2485  t = 3.549999999999841
writing time step 2520  t = 3.5999999999998376
writing time step 2555  t = 3.6499999999998343
writing time step 2590  t = 3.699999999999831
writing time step 2625  t = 3.7499999999998277
writing time step 2660  t = 3.7999999999998244
writing time step 2695  t = 3.849999999999821
writing time step 2730  t = 3.899999999999818
writing time step 2765  t = 3.9499999999998145
writing time step 2800  t = 3.9999999999998113
writing time step 2835  t = 4.049999999999823
writing time step 2870  t = 4.099999999999835
writing time step 2905  t = 4.149999999999848
writing time step 2940  t = 4.19999999999986
writing time step 2975  t = 4.249999999999872
writing time step 3010  t = 4.299999999999884
writing time step 3045  t = 4.349999999999897
writing time step 3080  t = 4.399999999999909
writing time step 3115  t = 4.449999999999921
writing time step 3150  t = 4.499999999999933
writing time step 3185  t = 4.549999999999946
writing time step 3220  t = 4.599999999999958
writing time step 3255  t = 4.64999999999997
writing time step 3290  t = 4.699999999999982
writing time step 3325  t = 4.749999999999995
writing time step 3360  t = 4.800000000000007
writing time step 3395  t = 4.850000000000019
writing time step 3430  t = 4.900000000000031
writing time step 3465  t = 4.950000000000044
writing time step 3500  t = 5.0
