writing time step 113  t = 0.02017857142857142
writing time step 226  t = 0.040357142857142876
writing time step 339  t = 0.06053571428571455
writing time step 452  t = 0.08071428571428621
writing time step 565  t = 0.10089285714285788
writing time step 678  t = 0.12107142857142955
writing time step 791  t = 0.14124999999999996
writing time step 904  t = 0.16142857142857006
writing time step 1017  t = 0.18160714285714016
writing time step 1130  t = 0.20178571428571027
writing time step 1243  t = 0.22196428571428037
writing time step 1356  t = 0.24214285714285047
writing time step 1469  t = 0.2623214285714206
writing time step 1582  t = 0.2824999999999907
writing time step 1695  t = 0.3026785714285608
writing time step 1808  t = 0.3228571428571309
writing time step 1921  t = 0.343035714285701
writing time step 2034  t = 0.3632142857142711
writing time step 2147  t = 0.3833928571428412
writing time step 2260  t = 0.4035714285714113
writing time step 2373  t = 0.4237499999999814
writing time step 2486  t = 0.4439285714285515
writing time step 2599  t = 0.4641071428571216
writing time step 2712  t = 0.4842857142856917
writing time step 2825  t = 0.5044642857142632
writing time step 2938  t = 0.5246428571428395
writing time step 3051  t = 0.5448214285714159
writing time step 3164  t = 0.5649999999999923
writing time step 3277  t = 0.5851785714285687
writing time step 3390  t = 0.605357142857145
writing time step 3503  t = 0.6255357142857214
writing time step 3616  t = 0.6457142857142978
writing time step 3729  t = 0.6658928571428742
writing time step 3842  t = 0.6860714285714505
writing time step 3955  t = 0.7062500000000269
writing time step 4068  t = 0.7264285714286033
writing time step 4181  t = 0.7466071428571797
writing time step 4294  t = 0.766785714285756
writing time step 4407  t = 0.7869642857143324
writing time step 4520  t = 0.8071428571429088
writing time step 4633  t = 0.8273214285714852
writing time step 4746  t = 0.8475000000000615
writing time step 4859  t = 0.8676785714286379
writing time step 4972  t = 0.8878571428572143
writing time step 5085  t = 0.9080357142857907
writing time step 5198  t = 0.928214285714367
writing time step 5311  t = 0.9483928571429434
writing time step 5424  t = 0.9685714285715198
writing time step 5537  t = 0.9887500000000962
writing time step 5650  t = 1.0089285714286669
writing time step 5763  t = 1.0291071428572307
writing time step 5876  t = 1.0492857142857945
writing time step 5989  t = 1.0694642857143584
writing time step 6102  t = 1.0896428571429222
writing time step 6215  t = 1.109821428571486
writing time step 6328  t = 1.1300000000000499
writing time step 6441  t = 1.1501785714286137
writing time step 6554  t = 1.1703571428571775
writing time step 6667  t = 1.1905357142857413
writing time step 6780  t = 1.2107142857143052
writing time step 6893  t = 1.230892857142869
writing time step 7006  t = 1.2510714285714328
writing time step 7119  t = 1.2712499999999967
writing time step 7232  t = 1.2914285714285605
writing time step 7345  t = 1.3116071428571243
writing time step 7458  t = 1.3317857142856881
writing time step 7571  t = 1.351964285714252
writing time step 7684  t = 1.3721428571428158
writing time step 7797  t = 1.3923214285713796
writing time step 7910  t = 1.4124999999999435
writing time step 8023  t = 1.4326785714285073
writing time step 8136  t = 1.4528571428570711
writing time step 8249  t = 1.473035714285635
writing time step 8362  t = 1.4932142857141988
writing time step 8475  t = 1.5133928571427626
writing time step 8588  t = 1.5335714285713264
writing time step 8701  t = 1.5537499999998903
writing time step 8814  t = 1.573928571428454
writing time step 8927  t = 1.594107142857018
writing time step 9040  t = 1.6142857142855818
writing time step 9153  t = 1.6344642857141456
writing time step 9266  t = 1.6546428571427094
writing time step 9379  t = 1.6748214285712733
writing time step 9492  t = 1.694999999999837
writing time step 9605  t = 1.715178571428401
writing time step 9718  t = 1.7353571428569647
writing time step 9831  t = 1.7555357142855286
writing time step 9944  t = 1.7757142857140924
writing time step 10057  t = 1.7958928571426562
writing time step 10170  t = 1.81607142857122
writing time step 10283  t = 1.8362499999997839
writing time step 10396  t = 1.8564285714283477
writing time step 10509  t = 1.8766071428569115
writing time step 10622  t = 1.8967857142854754
writing time step 10735  t = 1.9169642857140392
writing time step 10848  t = 1.937142857142603
writing time step 10961  t = 1.9573214285711669
writing time step 11074  t = 1.9774999999997307
writing time step 11187  t = 1.9976785714282945
