writing time step 28  t = 0.02000000000000001
writing time step 56  t = 0.040000000000000056
writing time step 84  t = 0.0600000000000001
writing time step 112  t = 0.07999999999999997
writing time step 140  t = 0.09999999999999983
writing time step 168  t = 0.11999999999999968
writing time step 196  t = 0.13999999999999982
writing time step 224  t = 0.16000000000000006
writing time step 252  t = 0.1800000000000003
writing time step 280  t = 0.20000000000000054
writing time step 308  t = 0.22000000000000078
writing time step 336  t = 0.24000000000000102
writing time step 364  t = 0.26000000000000123
writing time step 392  t = 0.28000000000000147
writing time step 420  t = 0.3000000000000017
writing time step 448  t = 0.32000000000000195
writing time step 476  t = 0.3400000000000022
writing time step 504  t = 0.36000000000000243
writing time step 532  t = 0.38000000000000267
writing time step 560  t = 0.4000000000000029
writing time step 588  t = 0.42000000000000315
writing time step 616  t = 0.4400000000000034
writing time step 644  t = 0.46000000000000363
writing time step 672  t = 0.48000000000000387
writing time step 700  t = 0.5000000000000041
writing time step 728  t = 0.5200000000000028
writing time step 756  t = 0.5400000000000015
writing time step 784  t = 0.5600000000000002
writing time step 812  t = 0.5799999999999988
writing time step 840  t = 0.5999999999999975
writing time step 868  t = 0.6199999999999962
writing time step 896  t = 0.6399999999999949
writing time step 924  t = 0.6599999999999936
writing time step 952  t = 0.6799999999999923
writing time step 980  t = 0.699999999999991
writing time step 1008  t = 0.7199999999999896
writing time step 1036  t = 0.7399999999999883
writing time step 1064  t = 0.759999999999987
writing time step 1092  t = 0.7799999999999857
writing time step 1120  t = 0.7999999999999844
writing time step 1148  t = 0.8199999999999831
writing time step 1176  t = 0.8399999999999818
writing time step 1204  t = 0.8599999999999804
writing time step 1232  t = 0.8799999999999791
writing time step 1260  t = 0.8999999999999778
writing time step 1288  t = 0.9199999999999765
writing time step 1316  t = 0.9399999999999752
writing time step 1344  t = 0.9599999999999739
writing time step 1372  t = 0.9799999999999726
writing time step 1400  t = 0.9999999999999712
writing time step 1428  t = 1.01999999999997
writing time step 1456  t = 1.0399999999999687
writing time step 1484  t = 1.0599999999999674
writing time step 1512  t = 1.079999999999966
writing time step 1540  t = 1.0999999999999648
writing time step 1568  t = 1.1199999999999635
writing time step 1596  t = 1.1399999999999622
writing time step 1624  t = 1.1599999999999608
writing time step 1652  t = 1.1799999999999595
writing time step 1680  t = 1.1999999999999582
writing time step 1708  t = 1.219999999999957
writing time step 1736  t = 1.2399999999999556
writing time step 1764  t = 1.2599999999999543
writing time step 1792  t = 1.279999999999953
writing time step 1820  t = 1.2999999999999516
writing time step 1848  t = 1.3199999999999503
writing time step 1876  t = 1.339999999999949
writing time step 1904  t = 1.3599999999999477
writing time step 1932  t = 1.3799999999999464
writing time step 1960  t = 1.399999999999945
writing time step 1988  t = 1.4199999999999438
writing time step 2016  t = 1.4399999999999424
writing time step 2044  t = 1.4599999999999411
writing time step 2072  t = 1.4799999999999398
writing time step 2100  t = 1.4999999999999385
writing time step 2128  t = 1.5199999999999372
writing time step 2156  t = 1.5399999999999359
writing time step 2184  t = 1.5599999999999346
writing time step 2212  t = 1.5799999999999332
writing time step 2240  t = 1.599999999999932
writing time step 2268  t = 1.6199999999999306
writing time step 2296  t = 1.6399999999999293
writing time step 2324  t = 1.659999999999928
writing time step 2352  t = 1.6799999999999267
writing time step 2380  t = 1.6999999999999253
writing time step 2408  t = 1.719999999999924
writing time step 2436  t = 1.7399999999999227
writing time step 2464  t = 1.7599999999999214
writing time step 2492  t = 1.77999999999992
writing time step 2520  t = 1.7999999999999188
writing time step 2548  t = 1.8199999999999175
writing time step 2576  t = 1.8399999999999161
writing time step 2604  t = 1.8599999999999148
writing time step 2632  t = 1.8799999999999135
writing time step 2660  t = 1.8999999999999122
writing time step 2688  t = 1.919999999999911
writing time step 2716  t = 1.9399999999999096
writing time step 2744  t = 1.9599999999999083
writing time step 2772  t = 1.979999999999907
writing time step 2800  t = 1.9999999999999056
