writing time step 70  t = 0.019999999999999973
writing time step 140  t = 0.039999999999999925
writing time step 210  t = 0.05999999999999987
writing time step 280  t = 0.08000000000000025
writing time step 350  t = 0.10000000000000069
writing time step 420  t = 0.12000000000000112
writing time step 490  t = 0.14000000000000082
writing time step 560  t = 0.16000000000000028
writing time step 630  t = 0.17999999999999974
writing time step 700  t = 0.1999999999999992
writing time step 770  t = 0.21999999999999867
writing time step 840  t = 0.23999999999999813
writing time step 910  t = 0.2599999999999976
writing time step 980  t = 0.2799999999999971
writing time step 1050  t = 0.29999999999999655
writing time step 1120  t = 0.319999999999996
writing time step 1190  t = 0.3399999999999955
writing time step 1260  t = 0.35999999999999494
writing time step 1330  t = 0.3799999999999944
writing time step 1400  t = 0.39999999999999386
writing time step 1470  t = 0.4199999999999933
writing time step 1540  t = 0.4399999999999928
writing time step 1610  t = 0.45999999999999225
writing time step 1680  t = 0.4799999999999917
writing time step 1750  t = 0.4999999999999912
writing time step 1820  t = 0.5199999999999945
writing time step 1890  t = 0.5399999999999978
writing time step 1960  t = 0.5600000000000012
writing time step 2030  t = 0.5800000000000045
writing time step 2100  t = 0.6000000000000079
writing time step 2170  t = 0.6200000000000112
writing time step 2240  t = 0.6400000000000146
writing time step 2310  t = 0.6600000000000179
writing time step 2380  t = 0.6800000000000213
writing time step 2450  t = 0.7000000000000246
writing time step 2520  t = 0.720000000000028
writing time step 2590  t = 0.7400000000000313
writing time step 2660  t = 0.7600000000000346
writing time step 2730  t = 0.780000000000038
writing time step 2800  t = 0.8000000000000413
writing time step 2870  t = 0.8200000000000447
writing time step 2940  t = 0.840000000000048
writing time step 3010  t = 0.8600000000000514
writing time step 3080  t = 0.8800000000000547
writing time step 3150  t = 0.9000000000000581
writing time step 3220  t = 0.9200000000000614
writing time step 3290  t = 0.9400000000000648
writing time step 3360  t = 0.9600000000000681
writing time step 3430  t = 0.9800000000000715
writing time step 3500  t = 1.0000000000000748
writing time step 3570  t = 1.0200000000000704
writing time step 3640  t = 1.040000000000066
writing time step 3710  t = 1.0600000000000616
writing time step 3780  t = 1.0800000000000571
writing time step 3850  t = 1.1000000000000527
writing time step 3920  t = 1.1200000000000483
writing time step 3990  t = 1.1400000000000439
writing time step 4060  t = 1.1600000000000394
writing time step 4130  t = 1.180000000000035
writing time step 4200  t = 1.2000000000000306
writing time step 4270  t = 1.2200000000000262
writing time step 4340  t = 1.2400000000000218
writing time step 4410  t = 1.2600000000000173
writing time step 4480  t = 1.280000000000013
writing time step 4550  t = 1.3000000000000085
writing time step 4620  t = 1.320000000000004
writing time step 4690  t = 1.3399999999999996
writing time step 4760  t = 1.3599999999999952
writing time step 4830  t = 1.3799999999999908
writing time step 4900  t = 1.3999999999999864
writing time step 4970  t = 1.419999999999982
writing time step 5040  t = 1.4399999999999775
writing time step 5110  t = 1.459999999999973
writing time step 5180  t = 1.4799999999999687
writing time step 5250  t = 1.4999999999999643
writing time step 5320  t = 1.5199999999999598
writing time step 5390  t = 1.5399999999999554
writing time step 5460  t = 1.559999999999951
writing time step 5530  t = 1.5799999999999466
writing time step 5600  t = 1.5999999999999421
writing time step 5670  t = 1.6199999999999377
writing time step 5740  t = 1.6399999999999333
writing time step 5810  t = 1.6599999999999289
writing time step 5880  t = 1.6799999999999244
writing time step 5950  t = 1.69999999999992
writing time step 6020  t = 1.7199999999999156
writing time step 6090  t = 1.7399999999999112
writing time step 6160  t = 1.7599999999999068
writing time step 6230  t = 1.7799999999999023
writing time step 6300  t = 1.799999999999898
writing time step 6370  t = 1.8199999999998935
writing time step 6440  t = 1.839999999999889
writing time step 6510  t = 1.8599999999998846
writing time step 6580  t = 1.8799999999998802
writing time step 6650  t = 1.8999999999998758
writing time step 6720  t = 1.9199999999998714
writing time step 6790  t = 1.939999999999867
writing time step 6860  t = 1.9599999999998625
writing time step 6930  t = 1.979999999999858
writing time step 7000  t = 1.9999999999998537
