writing time step 42  t = 0.02
writing time step 84  t = 0.04000000000000004
writing time step 126  t = 0.06000000000000009
writing time step 168  t = 0.08000000000000013
writing time step 210  t = 0.10000000000000017
writing time step 252  t = 0.12000000000000022
writing time step 294  t = 0.13999999999999982
writing time step 336  t = 0.15999999999999928
writing time step 378  t = 0.17999999999999874
writing time step 420  t = 0.1999999999999982
writing time step 462  t = 0.21999999999999767
writing time step 504  t = 0.23999999999999713
writing time step 546  t = 0.2599999999999966
writing time step 588  t = 0.2799999999999961
writing time step 630  t = 0.29999999999999555
writing time step 672  t = 0.319999999999995
writing time step 714  t = 0.3399999999999945
writing time step 756  t = 0.35999999999999394
writing time step 798  t = 0.3799999999999934
writing time step 840  t = 0.39999999999999286
writing time step 882  t = 0.4199999999999923
writing time step 924  t = 0.4399999999999918
writing time step 966  t = 0.45999999999999125
writing time step 1008  t = 0.4799999999999907
writing time step 1050  t = 0.4999999999999902
writing time step 1092  t = 0.5199999999999919
writing time step 1134  t = 0.5399999999999937
writing time step 1176  t = 0.5599999999999955
writing time step 1218  t = 0.5799999999999973
writing time step 1260  t = 0.5999999999999991
writing time step 1302  t = 0.6200000000000009
writing time step 1344  t = 0.6400000000000027
writing time step 1386  t = 0.6600000000000045
writing time step 1428  t = 0.6800000000000063
writing time step 1470  t = 0.7000000000000081
writing time step 1512  t = 0.7200000000000099
writing time step 1554  t = 0.7400000000000116
writing time step 1596  t = 0.7600000000000134
writing time step 1638  t = 0.7800000000000152
writing time step 1680  t = 0.800000000000017
writing time step 1722  t = 0.8200000000000188
writing time step 1764  t = 0.8400000000000206
writing time step 1806  t = 0.8600000000000224
writing time step 1848  t = 0.8800000000000242
writing time step 1890  t = 0.900000000000026
writing time step 1932  t = 0.9200000000000278
writing time step 1974  t = 0.9400000000000296
writing time step 2016  t = 0.9600000000000314
writing time step 2058  t = 0.9800000000000332
writing time step 2100  t = 1.0000000000000349
writing time step 2142  t = 1.0200000000000367
writing time step 2184  t = 1.0400000000000384
writing time step 2226  t = 1.0600000000000402
writing time step 2268  t = 1.080000000000042
writing time step 2310  t = 1.1000000000000438
writing time step 2352  t = 1.1200000000000456
writing time step 2394  t = 1.1400000000000474
writing time step 2436  t = 1.1600000000000492
writing time step 2478  t = 1.180000000000051
writing time step 2520  t = 1.2000000000000528
writing time step 2562  t = 1.2200000000000546
writing time step 2604  t = 1.2400000000000564
writing time step 2646  t = 1.2600000000000582
writing time step 2688  t = 1.28000000000006
writing time step 2730  t = 1.3000000000000618
writing time step 2772  t = 1.3200000000000636
writing time step 2814  t = 1.3400000000000654
writing time step 2856  t = 1.3600000000000672
writing time step 2898  t = 1.380000000000069
writing time step 2940  t = 1.4000000000000707
writing time step 2982  t = 1.4200000000000725
writing time step 3024  t = 1.4400000000000743
writing time step 3066  t = 1.4600000000000761
writing time step 3108  t = 1.480000000000078
writing time step 3150  t = 1.5000000000000797
writing time step 3192  t = 1.5200000000000815
writing time step 3234  t = 1.5400000000000833
writing time step 3276  t = 1.560000000000085
writing time step 3318  t = 1.580000000000087
writing time step 3360  t = 1.6000000000000887
writing time step 3402  t = 1.6200000000000905
writing time step 3444  t = 1.6400000000000923
writing time step 3486  t = 1.660000000000094
writing time step 3528  t = 1.6800000000000959
writing time step 3570  t = 1.7000000000000977
writing time step 3612  t = 1.7200000000000994
writing time step 3654  t = 1.7400000000001012
writing time step 3696  t = 1.760000000000103
writing time step 3738  t = 1.7800000000001048
writing time step 3780  t = 1.8000000000001066
writing time step 3822  t = 1.8200000000001084
writing time step 3864  t = 1.8400000000001102
writing time step 3906  t = 1.860000000000112
writing time step 3948  t = 1.8800000000001138
writing time step 3990  t = 1.9000000000001156
writing time step 4032  t = 1.9200000000001174
writing time step 4074  t = 1.9400000000001192
writing time step 4116  t = 1.960000000000121
writing time step 4158  t = 1.9800000000001228
writing time step 4200  t = 2.0
