writing time step 35  t = 0.019999999999999993
writing time step 70  t = 0.039999999999999945
writing time step 105  t = 0.059999999999999894
writing time step 140  t = 0.07999999999999985
writing time step 175  t = 0.0999999999999998
writing time step 210  t = 0.11999999999999975
writing time step 245  t = 0.14000000000000007
writing time step 280  t = 0.1600000000000005
writing time step 315  t = 0.18000000000000094
writing time step 350  t = 0.20000000000000137
writing time step 385  t = 0.2200000000000018
writing time step 420  t = 0.24000000000000224
writing time step 455  t = 0.2600000000000022
writing time step 490  t = 0.28000000000000164
writing time step 525  t = 0.3000000000000011
writing time step 560  t = 0.32000000000000056
writing time step 595  t = 0.34
writing time step 630  t = 0.3599999999999995
writing time step 665  t = 0.37999999999999895
writing time step 700  t = 0.3999999999999984
writing time step 735  t = 0.4199999999999979
writing time step 770  t = 0.43999999999999734
writing time step 805  t = 0.4599999999999968
writing time step 840  t = 0.47999999999999626
writing time step 875  t = 0.4999999999999957
writing time step 910  t = 0.5199999999999952
writing time step 945  t = 0.5399999999999947
writing time step 980  t = 0.5599999999999942
writing time step 1015  t = 0.5799999999999936
writing time step 1050  t = 0.5999999999999931
writing time step 1085  t = 0.6199999999999926
writing time step 1120  t = 0.639999999999992
writing time step 1155  t = 0.6599999999999915
writing time step 1190  t = 0.679999999999991
writing time step 1225  t = 0.6999999999999904
writing time step 1260  t = 0.7199999999999899
writing time step 1295  t = 0.7399999999999893
writing time step 1330  t = 0.7599999999999888
writing time step 1365  t = 0.7799999999999883
writing time step 1400  t = 0.7999999999999877
writing time step 1435  t = 0.8199999999999872
writing time step 1470  t = 0.8399999999999866
writing time step 1505  t = 0.8599999999999861
writing time step 1540  t = 0.8799999999999856
writing time step 1575  t = 0.899999999999985
writing time step 1610  t = 0.9199999999999845
writing time step 1645  t = 0.939999999999984
writing time step 1680  t = 0.9599999999999834
writing time step 1715  t = 0.9799999999999829
writing time step 1750  t = 0.9999999999999823
writing time step 1785  t = 1.0199999999999856
writing time step 1820  t = 1.039999999999989
writing time step 1855  t = 1.0599999999999923
writing time step 1890  t = 1.0799999999999956
writing time step 1925  t = 1.099999999999999
writing time step 1960  t = 1.1200000000000023
writing time step 1995  t = 1.1400000000000057
writing time step 2030  t = 1.160000000000009
writing time step 2065  t = 1.1800000000000124
writing time step 2100  t = 1.2000000000000157
writing time step 2135  t = 1.220000000000019
writing time step 2170  t = 1.2400000000000224
writing time step 2205  t = 1.2600000000000258
writing time step 2240  t = 1.2800000000000291
writing time step 2275  t = 1.3000000000000325
writing time step 2310  t = 1.3200000000000358
writing time step 2345  t = 1.3400000000000392
writing time step 2380  t = 1.3600000000000425
writing time step 2415  t = 1.3800000000000459
writing time step 2450  t = 1.4000000000000492
writing time step 2485  t = 1.4200000000000526
writing time step 2520  t = 1.440000000000056
writing time step 2555  t = 1.4600000000000593
writing time step 2590  t = 1.4800000000000626
writing time step 2625  t = 1.500000000000066
writing time step 2660  t = 1.5200000000000693
writing time step 2695  t = 1.5400000000000726
writing time step 2730  t = 1.560000000000076
writing time step 2765  t = 1.5800000000000793
writing time step 2800  t = 1.6000000000000827
writing time step 2835  t = 1.620000000000086
writing time step 2870  t = 1.6400000000000894
writing time step 2905  t = 1.6600000000000927
writing time step 2940  t = 1.680000000000096
writing time step 2975  t = 1.7000000000000994
writing time step 3010  t = 1.7200000000001028
writing time step 3045  t = 1.7400000000001061
writing time step 3080  t = 1.7600000000001095
writing time step 3115  t = 1.7800000000001128
writing time step 3150  t = 1.8000000000001162
writing time step 3185  t = 1.8200000000001195
writing time step 3220  t = 1.8400000000001229
writing time step 3255  t = 1.8600000000001262
writing time step 3290  t = 1.8800000000001296
writing time step 3325  t = 1.900000000000133
writing time step 3360  t = 1.9200000000001363
writing time step 3395  t = 1.9400000000001396
writing time step 3430  t = 1.960000000000143
writing time step 3465  t = 1.9800000000001463
writing time step 3500  t = 2.0
