writing time step 454  t = 0.0504444444444442
writing time step 908  t = 0.10088888888889073
writing time step 1362  t = 0.151333333333338
writing time step 1816  t = 0.2017777777777853
writing time step 2270  t = 0.25222222222223256
writing time step 2724  t = 0.30266666666667985
writing time step 3178  t = 0.35311111111112714
writing time step 3632  t = 0.40355555555557443
writing time step 4086  t = 0.4540000000000217
writing time step 4540  t = 0.5044444444444668
writing time step 4994  t = 0.5548888888888889
writing time step 5448  t = 0.605333333333311
writing time step 5902  t = 0.655777777777733
writing time step 6356  t = 0.7062222222221551
writing time step 6810  t = 0.7566666666665772
writing time step 7264  t = 0.8071111111109993
writing time step 7718  t = 0.8575555555554214
writing time step 8172  t = 0.9079999999998435
writing time step 8626  t = 0.9584444444442656
writing time step 9080  t = 1.0088888888886964
writing time step 9534  t = 1.059333333333169
writing time step 9988  t = 1.1097777777776414
writing time step 10442  t = 1.160222222222114
writing time step 10896  t = 1.2106666666665864
writing time step 11350  t = 1.261111111111059
writing time step 11804  t = 1.3115555555555314
writing time step 12258  t = 1.3620000000000039
writing time step 12712  t = 1.4124444444444764
writing time step 13166  t = 1.4628888888889489
writing time step 13620  t = 1.5133333333334213
writing time step 14074  t = 1.5637777777778938
writing time step 14528  t = 1.6142222222223663
writing time step 14982  t = 1.6646666666668388
writing time step 15436  t = 1.7151111111113113
writing time step 15890  t = 1.7655555555557838
writing time step 16344  t = 1.8160000000002563
writing time step 16798  t = 1.8664444444447288
writing time step 17252  t = 1.9168888888892013
writing time step 17706  t = 1.9673333333336738
writing time step 18160  t = 2.0177777777781105
writing time step 18614  t = 2.068222222222482
writing time step 19068  t = 2.118666666666854
writing time step 19522  t = 2.1691111111112256
writing time step 19976  t = 2.2195555555555972
writing time step 20430  t = 2.269999999999969
writing time step 20884  t = 2.3204444444443406
writing time step 21338  t = 2.3708888888887123
writing time step 21792  t = 2.421333333333084
writing time step 22246  t = 2.4717777777774557
writing time step 22700  t = 2.5222222222218273
writing time step 23154  t = 2.572666666666199
writing time step 23608  t = 2.6231111111105707
writing time step 24062  t = 2.6735555555549424
writing time step 24516  t = 2.723999999999314
writing time step 24970  t = 2.7744444444436858
writing time step 25424  t = 2.8248888888880574
writing time step 25878  t = 2.875333333332429
writing time step 26332  t = 2.925777777776801
writing time step 26786  t = 2.9762222222211725
writing time step 27240  t = 3.026666666665544
writing time step 27694  t = 3.077111111109916
writing time step 28148  t = 3.1275555555542875
writing time step 28602  t = 3.1779999999986592
writing time step 29056  t = 3.228444444443031
writing time step 29510  t = 3.2788888888874026
writing time step 29964  t = 3.3293333333317743
writing time step 30418  t = 3.379777777776146
writing time step 30872  t = 3.4302222222205176
writing time step 31326  t = 3.4806666666648893
writing time step 31780  t = 3.531111111109261
writing time step 32234  t = 3.5815555555536327
writing time step 32688  t = 3.6319999999980044
writing time step 33142  t = 3.682444444442376
writing time step 33596  t = 3.7328888888867477
writing time step 34050  t = 3.7833333333311194
writing time step 34504  t = 3.833777777775491
writing time step 34958  t = 3.884222222219863
writing time step 35412  t = 3.9346666666642345
writing time step 35866  t = 3.985111111108606
writing time step 36320  t = 4.035555555552978
writing time step 36774  t = 4.08599999999735
writing time step 37228  t = 4.136444444441722
writing time step 37682  t = 4.186888888886093
writing time step 38136  t = 4.237333333330465
writing time step 38590  t = 4.287777777774837
writing time step 39044  t = 4.338222222219208
writing time step 39498  t = 4.38866666666358
writing time step 39952  t = 4.439111111107952
writing time step 40406  t = 4.489555555552323
writing time step 40860  t = 4.539999999996695
writing time step 41314  t = 4.590444444441067
writing time step 41768  t = 4.6408888888854385
writing time step 42222  t = 4.69133333332981
writing time step 42676  t = 4.741777777774182
writing time step 43130  t = 4.7922222222185535
writing time step 43584  t = 4.842666666662925
writing time step 44038  t = 4.893111111107297
writing time step 44492  t = 4.943555555551669
writing time step 44946  t = 4.99399999999604
