writing time step 106  t = 0.020190476190476158
writing time step 212  t = 0.04038095238095234
writing time step 318  t = 0.06057142857142872
writing time step 424  t = 0.08076190476190444
writing time step 530  t = 0.10095238095238009
writing time step 636  t = 0.12114285714285573
writing time step 742  t = 0.1413333333333314
writing time step 848  t = 0.16152380952380704
writing time step 954  t = 0.1817142857142827
writing time step 1060  t = 0.20190476190475834
writing time step 1166  t = 0.222095238095234
writing time step 1272  t = 0.24228571428570964
writing time step 1378  t = 0.2624761904761853
writing time step 1484  t = 0.28266666666666096
writing time step 1590  t = 0.3028571428571366
writing time step 1696  t = 0.32304761904761226
writing time step 1802  t = 0.3432380952380879
writing time step 1908  t = 0.36342857142856355
writing time step 2014  t = 0.3836190476190392
writing time step 2120  t = 0.40380952380951485
writing time step 2226  t = 0.4239999999999905
writing time step 2332  t = 0.44419047619046614
writing time step 2438  t = 0.4643809523809418
writing time step 2544  t = 0.48457142857141744
writing time step 2650  t = 0.5047619047618931
writing time step 2756  t = 0.5249523809523687
writing time step 2862  t = 0.5451428571428444
writing time step 2968  t = 0.56533333333332
writing time step 3074  t = 0.5855238095237957
writing time step 3180  t = 0.6057142857142713
writing time step 3286  t = 0.625904761904747
writing time step 3392  t = 0.6460952380952226
writing time step 3498  t = 0.6662857142856983
writing time step 3604  t = 0.6864761904761739
writing time step 3710  t = 0.7066666666666496
writing time step 3816  t = 0.7268571428571252
writing time step 3922  t = 0.7470476190476009
writing time step 4028  t = 0.7672380952380765
writing time step 4134  t = 0.7874285714285522
writing time step 4240  t = 0.8076190476190278
writing time step 4346  t = 0.8278095238095035
writing time step 4452  t = 0.8479999999999791
writing time step 4558  t = 0.8681904761904548
writing time step 4664  t = 0.8883809523809304
writing time step 4770  t = 0.908571428571406
writing time step 4876  t = 0.9287619047618817
writing time step 4982  t = 0.9489523809523573
writing time step 5088  t = 0.969142857142833
writing time step 5194  t = 0.9893333333333086
writing time step 5300  t = 1.0095238095237897
writing time step 5406  t = 1.0297142857142771
writing time step 5512  t = 1.0499047619047646
writing time step 5618  t = 1.070095238095252
writing time step 5724  t = 1.0902857142857394
writing time step 5830  t = 1.1104761904762268
writing time step 5936  t = 1.1306666666667142
writing time step 6042  t = 1.1508571428572016
writing time step 6148  t = 1.171047619047689
writing time step 6254  t = 1.1912380952381765
writing time step 6360  t = 1.211428571428664
writing time step 6466  t = 1.2316190476191513
writing time step 6572  t = 1.2518095238096387
writing time step 6678  t = 1.2720000000001261
writing time step 6784  t = 1.2921904761906136
writing time step 6890  t = 1.312380952381101
writing time step 6996  t = 1.3325714285715884
writing time step 7102  t = 1.3527619047620758
writing time step 7208  t = 1.3729523809525632
writing time step 7314  t = 1.3931428571430506
writing time step 7420  t = 1.413333333333538
writing time step 7526  t = 1.4335238095240255
writing time step 7632  t = 1.4537142857145129
writing time step 7738  t = 1.4739047619050003
writing time step 7844  t = 1.4940952380954877
writing time step 7950  t = 1.5142857142859751
writing time step 8056  t = 1.5344761904764626
writing time step 8162  t = 1.55466666666695
writing time step 8268  t = 1.5748571428574374
writing time step 8374  t = 1.5950476190479248
writing time step 8480  t = 1.6152380952384122
writing time step 8586  t = 1.6354285714288996
writing time step 8692  t = 1.655619047619387
writing time step 8798  t = 1.6758095238098745
writing time step 8904  t = 1.6960000000003619
writing time step 9010  t = 1.7161904761908493
writing time step 9116  t = 1.7363809523813367
writing time step 9222  t = 1.7565714285718241
writing time step 9328  t = 1.7767619047623116
writing time step 9434  t = 1.796952380952799
writing time step 9540  t = 1.8171428571432864
writing time step 9646  t = 1.8373333333337738
writing time step 9752  t = 1.8575238095242612
writing time step 9858  t = 1.8777142857147486
writing time step 9964  t = 1.897904761905236
writing time step 10070  t = 1.9180952380957235
writing time step 10176  t = 1.9382857142862109
writing time step 10282  t = 1.9584761904766983
writing time step 10388  t = 1.9786666666671857
writing time step 10494  t = 1.9988571428576731
