writing time step 56  t = 0.020000000000000028
writing time step 112  t = 0.03999999999999999
writing time step 168  t = 0.05999999999999984
writing time step 224  t = 0.08000000000000003
writing time step 280  t = 0.10000000000000027
writing time step 336  t = 0.12000000000000051
writing time step 392  t = 0.14000000000000073
writing time step 448  t = 0.16000000000000097
writing time step 504  t = 0.18000000000000121
writing time step 560  t = 0.20000000000000145
writing time step 616  t = 0.2200000000000017
writing time step 672  t = 0.24000000000000193
writing time step 728  t = 0.2600000000000014
writing time step 784  t = 0.2800000000000001
writing time step 840  t = 0.29999999999999877
writing time step 896  t = 0.31999999999999745
writing time step 952  t = 0.33999999999999614
writing time step 1008  t = 0.3599999999999948
writing time step 1064  t = 0.3799999999999935
writing time step 1120  t = 0.3999999999999922
writing time step 1176  t = 0.4199999999999909
writing time step 1232  t = 0.43999999999998957
writing time step 1288  t = 0.45999999999998825
writing time step 1344  t = 0.47999999999998694
writing time step 1400  t = 0.4999999999999856
writing time step 1456  t = 0.5199999999999844
writing time step 1512  t = 0.539999999999983
writing time step 1568  t = 0.5599999999999817
writing time step 1624  t = 0.5799999999999804
writing time step 1680  t = 0.5999999999999791
writing time step 1736  t = 0.6199999999999778
writing time step 1792  t = 0.6399999999999765
writing time step 1848  t = 0.6599999999999752
writing time step 1904  t = 0.6799999999999738
writing time step 1960  t = 0.6999999999999725
writing time step 2016  t = 0.7199999999999712
writing time step 2072  t = 0.7399999999999699
writing time step 2128  t = 0.7599999999999686
writing time step 2184  t = 0.7799999999999673
writing time step 2240  t = 0.799999999999966
writing time step 2296  t = 0.8199999999999646
writing time step 2352  t = 0.8399999999999633
writing time step 2408  t = 0.859999999999962
writing time step 2464  t = 0.8799999999999607
writing time step 2520  t = 0.8999999999999594
writing time step 2576  t = 0.9199999999999581
writing time step 2632  t = 0.9399999999999568
writing time step 2688  t = 0.9599999999999554
writing time step 2744  t = 0.9799999999999541
writing time step 2800  t = 0.9999999999999528
writing time step 2856  t = 1.0199999999999576
writing time step 2912  t = 1.0399999999999625
writing time step 2968  t = 1.0599999999999674
writing time step 3024  t = 1.0799999999999723
writing time step 3080  t = 1.0999999999999772
writing time step 3136  t = 1.1199999999999821
writing time step 3192  t = 1.139999999999987
writing time step 3248  t = 1.159999999999992
writing time step 3304  t = 1.1799999999999968
writing time step 3360  t = 1.2000000000000017
writing time step 3416  t = 1.2200000000000066
writing time step 3472  t = 1.2400000000000115
writing time step 3528  t = 1.2600000000000164
writing time step 3584  t = 1.2800000000000213
writing time step 3640  t = 1.3000000000000262
writing time step 3696  t = 1.3200000000000311
writing time step 3752  t = 1.340000000000036
writing time step 3808  t = 1.360000000000041
writing time step 3864  t = 1.3800000000000459
writing time step 3920  t = 1.4000000000000508
writing time step 3976  t = 1.4200000000000557
writing time step 4032  t = 1.4400000000000606
writing time step 4088  t = 1.4600000000000655
writing time step 4144  t = 1.4800000000000704
writing time step 4200  t = 1.5000000000000753
writing time step 4256  t = 1.5200000000000802
writing time step 4312  t = 1.540000000000085
writing time step 4368  t = 1.56000000000009
writing time step 4424  t = 1.5800000000000949
writing time step 4480  t = 1.6000000000000998
writing time step 4536  t = 1.6200000000001047
writing time step 4592  t = 1.6400000000001096
writing time step 4648  t = 1.6600000000001145
writing time step 4704  t = 1.6800000000001194
writing time step 4760  t = 1.7000000000001243
writing time step 4816  t = 1.7200000000001292
writing time step 4872  t = 1.740000000000134
writing time step 4928  t = 1.760000000000139
writing time step 4984  t = 1.780000000000144
writing time step 5040  t = 1.8000000000001488
writing time step 5096  t = 1.8200000000001537
writing time step 5152  t = 1.8400000000001586
writing time step 5208  t = 1.8600000000001635
writing time step 5264  t = 1.8800000000001684
writing time step 5320  t = 1.9000000000001733
writing time step 5376  t = 1.9200000000001782
writing time step 5432  t = 1.9400000000001831
writing time step 5488  t = 1.960000000000188
writing time step 5544  t = 1.980000000000193
writing time step 5600  t = 2.0
