writing time step 282  t = 0.050357142857142996
writing time step 564  t = 0.10071428571428645
writing time step 846  t = 0.15107142857142788
writing time step 1128  t = 0.20142857142856743
writing time step 1410  t = 0.251785714285707
writing time step 1692  t = 0.30214285714284655
writing time step 1974  t = 0.3524999999999861
writing time step 2256  t = 0.40285714285712565
writing time step 2538  t = 0.4532142857142652
writing time step 2820  t = 0.5035714285714058
writing time step 3102  t = 0.553928571428561
writing time step 3384  t = 0.6042857142857162
writing time step 3666  t = 0.6546428571428714
writing time step 3948  t = 0.7050000000000266
writing time step 4230  t = 0.7553571428571818
writing time step 4512  t = 0.805714285714337
writing time step 4794  t = 0.8560714285714922
writing time step 5076  t = 0.9064285714286474
writing time step 5358  t = 0.9567857142858026
writing time step 5640  t = 1.0071428571429533
writing time step 5922  t = 1.0575000000000772
writing time step 6204  t = 1.107857142857201
writing time step 6486  t = 1.158214285714325
writing time step 6768  t = 1.2085714285714488
writing time step 7050  t = 1.2589285714285727
writing time step 7332  t = 1.3092857142856966
writing time step 7614  t = 1.3596428571428205
writing time step 7896  t = 1.4099999999999444
writing time step 8178  t = 1.4603571428570683
writing time step 8460  t = 1.5107142857141922
writing time step 8742  t = 1.561071428571316
writing time step 9024  t = 1.61142857142844
writing time step 9306  t = 1.6617857142855639
writing time step 9588  t = 1.7121428571426878
writing time step 9870  t = 1.7624999999998117
writing time step 10152  t = 1.8128571428569356
writing time step 10434  t = 1.8632142857140594
writing time step 10716  t = 1.9135714285711833
writing time step 10998  t = 1.9639285714283072
writing time step 11280  t = 2.0142857142854487
writing time step 11562  t = 2.064642857142635
writing time step 11844  t = 2.1149999999998217
writing time step 12126  t = 2.165357142857008
writing time step 12408  t = 2.2157142857141947
writing time step 12690  t = 2.266071428571381
writing time step 12972  t = 2.3164285714285677
writing time step 13254  t = 2.3667857142857542
writing time step 13536  t = 2.4171428571429407
writing time step 13818  t = 2.4675000000001273
writing time step 14100  t = 2.5178571428573138
writing time step 14382  t = 2.5682142857145003
writing time step 14664  t = 2.618571428571687
writing time step 14946  t = 2.6689285714288733
writing time step 15228  t = 2.71928571428606
writing time step 15510  t = 2.7696428571432463
writing time step 15792  t = 2.820000000000433
writing time step 16074  t = 2.8703571428576193
writing time step 16356  t = 2.920714285714806
writing time step 16638  t = 2.9710714285719924
writing time step 16920  t = 3.021428571429179
writing time step 17202  t = 3.0717857142863654
writing time step 17484  t = 3.122142857143552
writing time step 17766  t = 3.1725000000007384
writing time step 18048  t = 3.222857142857925
writing time step 18330  t = 3.2732142857151114
writing time step 18612  t = 3.323571428572298
writing time step 18894  t = 3.3739285714294844
writing time step 19176  t = 3.424285714286671
writing time step 19458  t = 3.4746428571438575
writing time step 19740  t = 3.525000000001044
writing time step 20022  t = 3.5753571428582305
writing time step 20304  t = 3.625714285715417
writing time step 20586  t = 3.6760714285726035
writing time step 20868  t = 3.72642857142979
writing time step 21150  t = 3.7767857142869765
writing time step 21432  t = 3.827142857144163
writing time step 21714  t = 3.8775000000013495
writing time step 21996  t = 3.927857142858536
writing time step 22278  t = 3.9782142857157226
writing time step 22560  t = 4.028571428572838
writing time step 22842  t = 4.078928571429899
writing time step 23124  t = 4.129285714286961
writing time step 23406  t = 4.179642857144022
writing time step 23688  t = 4.230000000001083
writing time step 23970  t = 4.280357142858144
writing time step 24252  t = 4.330714285715206
writing time step 24534  t = 4.381071428572267
writing time step 24816  t = 4.431428571429328
writing time step 25098  t = 4.4817857142863895
writing time step 25380  t = 4.532142857143451
writing time step 25662  t = 4.582500000000512
writing time step 25944  t = 4.632857142857573
writing time step 26226  t = 4.683214285714635
writing time step 26508  t = 4.733571428571696
writing time step 26790  t = 4.783928571428757
writing time step 27072  t = 4.834285714285818
writing time step 27354  t = 4.88464285714288
writing time step 27636  t = 4.934999999999941
writing time step 27918  t = 4.985357142857002
