writing time step 565  t = 0.05044642857142894
writing time step 1130  t = 0.10089285714285513
writing time step 1695  t = 0.1513392857142804
writing time step 2260  t = 0.20178571428570566
writing time step 2825  t = 0.2522321428571316
writing time step 3390  t = 0.3026785714285725
writing time step 3955  t = 0.35312500000001346
writing time step 4520  t = 0.4035714285714544
writing time step 5085  t = 0.45401785714289533
writing time step 5650  t = 0.5044642857143334
writing time step 6215  t = 0.554910714285743
writing time step 6780  t = 0.6053571428571526
writing time step 7345  t = 0.6558035714285622
writing time step 7910  t = 0.7062499999999717
writing time step 8475  t = 0.7566964285713813
writing time step 9040  t = 0.8071428571427909
writing time step 9605  t = 0.8575892857142005
writing time step 10170  t = 0.90803571428561
writing time step 10735  t = 0.9584821428570196
writing time step 11300  t = 1.0089285714284402
writing time step 11865  t = 1.0593749999999125
writing time step 12430  t = 1.1098214285713848
writing time step 12995  t = 1.160267857142857
writing time step 13560  t = 1.2107142857143294
writing time step 14125  t = 1.2611607142858017
writing time step 14690  t = 1.311607142857274
writing time step 15255  t = 1.3620535714287463
writing time step 15820  t = 1.4125000000002186
writing time step 16385  t = 1.4629464285716909
writing time step 16950  t = 1.5133928571431632
writing time step 17515  t = 1.5638392857146355
writing time step 18080  t = 1.6142857142861078
writing time step 18645  t = 1.66473214285758
writing time step 19210  t = 1.7151785714290524
writing time step 19775  t = 1.7656250000005247
writing time step 20340  t = 1.816071428571997
writing time step 20905  t = 1.8665178571434693
writing time step 21470  t = 1.9169642857149416
writing time step 22035  t = 1.967410714286414
writing time step 22600  t = 2.017857142857842
writing time step 23165  t = 2.0683035714291886
writing time step 23730  t = 2.1187500000005355
writing time step 24295  t = 2.1691964285718823
writing time step 24860  t = 2.219642857143229
writing time step 25425  t = 2.270089285714576
writing time step 25990  t = 2.320535714285923
writing time step 26555  t = 2.3709821428572697
writing time step 27120  t = 2.4214285714286166
writing time step 27685  t = 2.4718749999999634
writing time step 28250  t = 2.5223214285713103
writing time step 28815  t = 2.572767857142657
writing time step 29380  t = 2.623214285714004
writing time step 29945  t = 2.673660714285351
writing time step 30510  t = 2.7241071428566976
writing time step 31075  t = 2.7745535714280445
writing time step 31640  t = 2.8249999999993913
writing time step 32205  t = 2.875446428570738
writing time step 32770  t = 2.925892857142085
writing time step 33335  t = 2.976339285713432
writing time step 33900  t = 3.0267857142847787
writing time step 34465  t = 3.0772321428561256
writing time step 35030  t = 3.1276785714274724
writing time step 35595  t = 3.1781249999988193
writing time step 36160  t = 3.228571428570166
writing time step 36725  t = 3.279017857141513
writing time step 37290  t = 3.32946428571286
writing time step 37855  t = 3.3799107142842066
writing time step 38420  t = 3.4303571428555535
writing time step 38985  t = 3.4808035714269003
writing time step 39550  t = 3.531249999998247
writing time step 40115  t = 3.581696428569594
writing time step 40680  t = 3.632142857140941
writing time step 41245  t = 3.6825892857122877
writing time step 41810  t = 3.7330357142836346
writing time step 42375  t = 3.7834821428549814
writing time step 42940  t = 3.8339285714263283
writing time step 43505  t = 3.884374999997675
writing time step 44070  t = 3.934821428569022
writing time step 44635  t = 3.985267857140369
writing time step 45200  t = 4.035714285711893
writing time step 45765  t = 4.086160714283491
writing time step 46330  t = 4.136607142855088
writing time step 46895  t = 4.187053571426686
writing time step 47460  t = 4.237499999998284
writing time step 48025  t = 4.287946428569882
writing time step 48590  t = 4.338392857141479
writing time step 49155  t = 4.388839285713077
writing time step 49720  t = 4.439285714284675
writing time step 50285  t = 4.489732142856273
writing time step 50850  t = 4.54017857142787
writing time step 51415  t = 4.590624999999468
writing time step 51980  t = 4.641071428571066
writing time step 52545  t = 4.691517857142664
writing time step 53110  t = 4.741964285714261
writing time step 53675  t = 4.792410714285859
writing time step 54240  t = 4.842857142857457
writing time step 54805  t = 4.893303571429055
