writing time step 14  t = 0.02
writing time step 28  t = 0.04000000000000002
writing time step 42  t = 0.06000000000000007
writing time step 56  t = 0.08000000000000011
writing time step 70  t = 0.10000000000000016
writing time step 84  t = 0.1200000000000002
writing time step 98  t = 0.1400000000000001
writing time step 112  t = 0.15999999999999995
writing time step 126  t = 0.1799999999999998
writing time step 140  t = 0.19999999999999965
writing time step 154  t = 0.2199999999999995
writing time step 168  t = 0.23999999999999935
writing time step 182  t = 0.2599999999999994
writing time step 196  t = 0.27999999999999964
writing time step 210  t = 0.2999999999999999
writing time step 224  t = 0.3200000000000001
writing time step 238  t = 0.34000000000000036
writing time step 252  t = 0.3600000000000006
writing time step 266  t = 0.38000000000000084
writing time step 280  t = 0.4000000000000011
writing time step 294  t = 0.4200000000000013
writing time step 308  t = 0.44000000000000156
writing time step 322  t = 0.4600000000000018
writing time step 336  t = 0.48000000000000204
writing time step 350  t = 0.5000000000000022
writing time step 364  t = 0.5200000000000025
writing time step 378  t = 0.5400000000000027
writing time step 392  t = 0.5600000000000029
writing time step 406  t = 0.5800000000000032
writing time step 420  t = 0.6000000000000034
writing time step 434  t = 0.6200000000000037
writing time step 448  t = 0.6400000000000039
writing time step 462  t = 0.6600000000000041
writing time step 476  t = 0.6800000000000044
writing time step 490  t = 0.7000000000000046
writing time step 504  t = 0.7200000000000049
writing time step 518  t = 0.7400000000000051
writing time step 532  t = 0.7600000000000053
writing time step 546  t = 0.7800000000000056
writing time step 560  t = 0.8000000000000058
writing time step 574  t = 0.8200000000000061
writing time step 588  t = 0.8400000000000063
writing time step 602  t = 0.8600000000000065
writing time step 616  t = 0.8800000000000068
writing time step 630  t = 0.900000000000007
writing time step 644  t = 0.9200000000000073
writing time step 658  t = 0.9400000000000075
writing time step 672  t = 0.9600000000000077
writing time step 686  t = 0.980000000000008
writing time step 700  t = 1.0000000000000082
writing time step 714  t = 1.020000000000007
writing time step 728  t = 1.0400000000000056
writing time step 742  t = 1.0600000000000043
writing time step 756  t = 1.080000000000003
writing time step 770  t = 1.1000000000000016
writing time step 784  t = 1.1200000000000003
writing time step 798  t = 1.139999999999999
writing time step 812  t = 1.1599999999999977
writing time step 826  t = 1.1799999999999964
writing time step 840  t = 1.199999999999995
writing time step 854  t = 1.2199999999999938
writing time step 868  t = 1.2399999999999924
writing time step 882  t = 1.2599999999999911
writing time step 896  t = 1.2799999999999898
writing time step 910  t = 1.2999999999999885
writing time step 924  t = 1.3199999999999872
writing time step 938  t = 1.3399999999999859
writing time step 952  t = 1.3599999999999846
writing time step 966  t = 1.3799999999999832
writing time step 980  t = 1.399999999999982
writing time step 994  t = 1.4199999999999806
writing time step 1008  t = 1.4399999999999793
writing time step 1022  t = 1.459999999999978
writing time step 1036  t = 1.4799999999999767
writing time step 1050  t = 1.4999999999999754
writing time step 1064  t = 1.519999999999974
writing time step 1078  t = 1.5399999999999727
writing time step 1092  t = 1.5599999999999714
writing time step 1106  t = 1.57999999999997
writing time step 1120  t = 1.5999999999999688
writing time step 1134  t = 1.6199999999999675
writing time step 1148  t = 1.6399999999999662
writing time step 1162  t = 1.6599999999999648
writing time step 1176  t = 1.6799999999999635
writing time step 1190  t = 1.6999999999999622
writing time step 1204  t = 1.719999999999961
writing time step 1218  t = 1.7399999999999596
writing time step 1232  t = 1.7599999999999583
writing time step 1246  t = 1.779999999999957
writing time step 1260  t = 1.7999999999999556
writing time step 1274  t = 1.8199999999999543
writing time step 1288  t = 1.839999999999953
writing time step 1302  t = 1.8599999999999517
writing time step 1316  t = 1.8799999999999504
writing time step 1330  t = 1.899999999999949
writing time step 1344  t = 1.9199999999999477
writing time step 1358  t = 1.9399999999999464
writing time step 1372  t = 1.9599999999999451
writing time step 1386  t = 1.9799999999999438
writing time step 1400  t = 1.9999999999999425
