writing time step 45  t = 0.005000000000000005
writing time step 90  t = 0.009999999999999997
writing time step 135  t = 0.014999999999999966
writing time step 180  t = 0.019999999999999938
writing time step 225  t = 0.024999999999999908
writing time step 270  t = 0.029999999999999877
writing time step 315  t = 0.03499999999999985
writing time step 360  t = 0.03999999999999982
writing time step 405  t = 0.04499999999999979
writing time step 450  t = 0.04999999999999976
writing time step 495  t = 0.05499999999999973
writing time step 540  t = 0.0599999999999997
writing time step 585  t = 0.06499999999999982
writing time step 630  t = 0.0700000000000001
writing time step 675  t = 0.07500000000000039
writing time step 720  t = 0.08000000000000067
writing time step 765  t = 0.08500000000000095
writing time step 810  t = 0.09000000000000123
writing time step 855  t = 0.09500000000000151
writing time step 900  t = 0.1000000000000018
writing time step 945  t = 0.10500000000000208
writing time step 990  t = 0.11000000000000236
writing time step 1035  t = 0.11500000000000264
writing time step 1080  t = 0.12000000000000292
writing time step 1125  t = 0.1250000000000032
writing time step 1170  t = 0.13000000000000347
writing time step 1215  t = 0.13500000000000376
writing time step 1260  t = 0.14000000000000404
writing time step 1305  t = 0.14500000000000432
writing time step 1350  t = 0.1500000000000046
writing time step 1395  t = 0.15500000000000488
writing time step 1440  t = 0.16000000000000517
writing time step 1485  t = 0.16500000000000545
writing time step 1530  t = 0.17000000000000573
writing time step 1575  t = 0.175000000000006
writing time step 1620  t = 0.1800000000000063
writing time step 1665  t = 0.18500000000000658
writing time step 1710  t = 0.19000000000000686
writing time step 1755  t = 0.19500000000000714
writing time step 1800  t = 0.20000000000000742
writing time step 1845  t = 0.2050000000000077
writing time step 1890  t = 0.21000000000000799
writing time step 1935  t = 0.21500000000000827
writing time step 1980  t = 0.22000000000000855
writing time step 2025  t = 0.22500000000000883
writing time step 2070  t = 0.2300000000000091
writing time step 2115  t = 0.2350000000000094
writing time step 2160  t = 0.24000000000000968
writing time step 2205  t = 0.24500000000000996
writing time step 2250  t = 0.2500000000000102
writing time step 2295  t = 0.2550000000000105
writing time step 2340  t = 0.2600000000000108
writing time step 2385  t = 0.26500000000001106
writing time step 2430  t = 0.27000000000001134
writing time step 2475  t = 0.2750000000000116
writing time step 2520  t = 0.2800000000000119
writing time step 2565  t = 0.2850000000000122
writing time step 2610  t = 0.29000000000001247
writing time step 2655  t = 0.29500000000001275
writing time step 2700  t = 0.30000000000001303
writing time step 2745  t = 0.3050000000000133
writing time step 2790  t = 0.3100000000000136
writing time step 2835  t = 0.3150000000000139
writing time step 2880  t = 0.32000000000001416
writing time step 2925  t = 0.32500000000001444
writing time step 2970  t = 0.3300000000000147
writing time step 3015  t = 0.335000000000015
writing time step 3060  t = 0.3400000000000153
writing time step 3105  t = 0.34500000000001557
writing time step 3150  t = 0.35000000000001585
writing time step 3195  t = 0.35500000000001614
writing time step 3240  t = 0.3600000000000164
writing time step 3285  t = 0.3650000000000167
writing time step 3330  t = 0.370000000000017
writing time step 3375  t = 0.37500000000001726
writing time step 3420  t = 0.38000000000001755
writing time step 3465  t = 0.38500000000001783
writing time step 3510  t = 0.3900000000000181
writing time step 3555  t = 0.3950000000000184
writing time step 3600  t = 0.4000000000000187
writing time step 3645  t = 0.40500000000001896
writing time step 3690  t = 0.41000000000001924
writing time step 3735  t = 0.4150000000000195
writing time step 3780  t = 0.4200000000000198
writing time step 3825  t = 0.4250000000000201
writing time step 3870  t = 0.43000000000002037
writing time step 3915  t = 0.43500000000002065
writing time step 3960  t = 0.44000000000002093
writing time step 4005  t = 0.4450000000000212
writing time step 4050  t = 0.4500000000000215
writing time step 4095  t = 0.4550000000000218
writing time step 4140  t = 0.46000000000002206
writing time step 4185  t = 0.46500000000002234
writing time step 4230  t = 0.4700000000000226
writing time step 4275  t = 0.4750000000000229
writing time step 4320  t = 0.4800000000000232
writing time step 4365  t = 0.48500000000002347
writing time step 4410  t = 0.49000000000002375
writing time step 4455  t = 0.49500000000002403
writing time step 4500  t = 0.5
