writing time step 98  t = 0.02
writing time step 196  t = 0.04000000000000005
writing time step 294  t = 0.06000000000000029
writing time step 392  t = 0.08000000000000053
writing time step 490  t = 0.10000000000000077
writing time step 588  t = 0.12000000000000101
writing time step 686  t = 0.14000000000000123
writing time step 784  t = 0.16000000000000147
writing time step 882  t = 0.18000000000000171
writing time step 980  t = 0.20000000000000195
writing time step 1078  t = 0.2200000000000022
writing time step 1176  t = 0.24000000000000243
writing time step 1274  t = 0.2600000000000027
writing time step 1372  t = 0.2800000000000029
writing time step 1470  t = 0.30000000000000315
writing time step 1568  t = 0.3200000000000034
writing time step 1666  t = 0.34000000000000363
writing time step 1764  t = 0.3600000000000039
writing time step 1862  t = 0.3800000000000041
writing time step 1960  t = 0.40000000000000435
writing time step 2058  t = 0.4200000000000046
writing time step 2156  t = 0.44000000000000483
writing time step 2254  t = 0.46000000000000507
writing time step 2352  t = 0.4800000000000053
writing time step 2450  t = 0.5000000000000056
writing time step 2548  t = 0.5200000000000058
writing time step 2646  t = 0.540000000000006
writing time step 2744  t = 0.5600000000000063
writing time step 2842  t = 0.5800000000000065
writing time step 2940  t = 0.6000000000000068
writing time step 3038  t = 0.620000000000007
writing time step 3136  t = 0.6400000000000072
writing time step 3234  t = 0.6600000000000075
writing time step 3332  t = 0.6800000000000077
writing time step 3430  t = 0.700000000000008
writing time step 3528  t = 0.7200000000000082
writing time step 3626  t = 0.7400000000000084
writing time step 3724  t = 0.7600000000000087
writing time step 3822  t = 0.7800000000000089
writing time step 3920  t = 0.8000000000000091
writing time step 4018  t = 0.8200000000000094
writing time step 4116  t = 0.8400000000000096
writing time step 4214  t = 0.8600000000000099
writing time step 4312  t = 0.8800000000000101
writing time step 4410  t = 0.9000000000000103
writing time step 4508  t = 0.9200000000000106
writing time step 4606  t = 0.9400000000000108
writing time step 4704  t = 0.9600000000000111
writing time step 4802  t = 0.9800000000000113
writing time step 4900  t = 1.0000000000000115
writing time step 4998  t = 1.020000000000001
writing time step 5096  t = 1.0399999999999903
writing time step 5194  t = 1.0599999999999796
writing time step 5292  t = 1.079999999999969
writing time step 5390  t = 1.0999999999999583
writing time step 5488  t = 1.1199999999999477
writing time step 5586  t = 1.139999999999937
writing time step 5684  t = 1.1599999999999264
writing time step 5782  t = 1.1799999999999158
writing time step 5880  t = 1.1999999999999051
writing time step 5978  t = 1.2199999999998945
writing time step 6076  t = 1.2399999999998839
writing time step 6174  t = 1.2599999999998732
writing time step 6272  t = 1.2799999999998626
writing time step 6370  t = 1.299999999999852
writing time step 6468  t = 1.3199999999998413
writing time step 6566  t = 1.3399999999998307
writing time step 6664  t = 1.35999999999982
writing time step 6762  t = 1.3799999999998094
writing time step 6860  t = 1.3999999999997987
writing time step 6958  t = 1.419999999999788
writing time step 7056  t = 1.4399999999997775
writing time step 7154  t = 1.4599999999997668
writing time step 7252  t = 1.4799999999997562
writing time step 7350  t = 1.4999999999997455
writing time step 7448  t = 1.519999999999735
writing time step 7546  t = 1.5399999999997243
writing time step 7644  t = 1.5599999999997136
writing time step 7742  t = 1.579999999999703
writing time step 7840  t = 1.5999999999996923
writing time step 7938  t = 1.6199999999996817
writing time step 8036  t = 1.639999999999671
writing time step 8134  t = 1.6599999999996604
writing time step 8232  t = 1.6799999999996498
writing time step 8330  t = 1.6999999999996391
writing time step 8428  t = 1.7199999999996285
writing time step 8526  t = 1.7399999999996179
writing time step 8624  t = 1.7599999999996072
writing time step 8722  t = 1.7799999999995966
writing time step 8820  t = 1.799999999999586
writing time step 8918  t = 1.8199999999995753
writing time step 9016  t = 1.8399999999995647
writing time step 9114  t = 1.859999999999554
writing time step 9212  t = 1.8799999999995434
writing time step 9310  t = 1.8999999999995327
writing time step 9408  t = 1.919999999999522
writing time step 9506  t = 1.9399999999995114
writing time step 9604  t = 1.9599999999995008
writing time step 9702  t = 1.9799999999994902
writing time step 9800  t = 1.9999999999994795
