writing time step 7  t = 0.02
writing time step 14  t = 0.04
writing time step 21  t = 0.06
writing time step 28  t = 0.08000000000000004
writing time step 35  t = 0.10000000000000009
writing time step 42  t = 0.12000000000000013
writing time step 49  t = 0.14000000000000018
writing time step 56  t = 0.16000000000000023
writing time step 63  t = 0.18000000000000027
writing time step 70  t = 0.20000000000000032
writing time step 77  t = 0.22000000000000036
writing time step 84  t = 0.2400000000000004
writing time step 91  t = 0.26000000000000034
writing time step 98  t = 0.2800000000000002
writing time step 105  t = 0.30000000000000004
writing time step 112  t = 0.3199999999999999
writing time step 119  t = 0.33999999999999975
writing time step 126  t = 0.3599999999999996
writing time step 133  t = 0.37999999999999945
writing time step 140  t = 0.3999999999999993
writing time step 147  t = 0.41999999999999915
writing time step 154  t = 0.439999999999999
writing time step 161  t = 0.45999999999999885
writing time step 168  t = 0.4799999999999987
writing time step 175  t = 0.49999999999999856
writing time step 182  t = 0.5199999999999988
writing time step 189  t = 0.539999999999999
writing time step 196  t = 0.5599999999999993
writing time step 203  t = 0.5799999999999995
writing time step 210  t = 0.5999999999999998
writing time step 217  t = 0.62
writing time step 224  t = 0.6400000000000002
writing time step 231  t = 0.6600000000000005
writing time step 238  t = 0.6800000000000007
writing time step 245  t = 0.700000000000001
writing time step 252  t = 0.7200000000000012
writing time step 259  t = 0.7400000000000014
writing time step 266  t = 0.7600000000000017
writing time step 273  t = 0.7800000000000019
writing time step 280  t = 0.8000000000000022
writing time step 287  t = 0.8200000000000024
writing time step 294  t = 0.8400000000000026
writing time step 301  t = 0.8600000000000029
writing time step 308  t = 0.8800000000000031
writing time step 315  t = 0.9000000000000034
writing time step 322  t = 0.9200000000000036
writing time step 329  t = 0.9400000000000038
writing time step 336  t = 0.9600000000000041
writing time step 343  t = 0.9800000000000043
writing time step 350  t = 1.0000000000000044
writing time step 357  t = 1.0200000000000047
writing time step 364  t = 1.040000000000005
writing time step 371  t = 1.0600000000000052
writing time step 378  t = 1.0800000000000054
writing time step 385  t = 1.1000000000000056
writing time step 392  t = 1.1200000000000059
writing time step 399  t = 1.1400000000000061
writing time step 406  t = 1.1600000000000064
writing time step 413  t = 1.1800000000000066
writing time step 420  t = 1.2000000000000068
writing time step 427  t = 1.220000000000007
writing time step 434  t = 1.2400000000000073
writing time step 441  t = 1.2600000000000076
writing time step 448  t = 1.2800000000000078
writing time step 455  t = 1.300000000000008
writing time step 462  t = 1.3200000000000083
writing time step 469  t = 1.3400000000000085
writing time step 476  t = 1.3600000000000088
writing time step 483  t = 1.380000000000009
writing time step 490  t = 1.4000000000000092
writing time step 497  t = 1.4200000000000095
writing time step 504  t = 1.4400000000000097
writing time step 511  t = 1.46000000000001
writing time step 518  t = 1.4800000000000102
writing time step 525  t = 1.5000000000000104
writing time step 532  t = 1.5200000000000107
writing time step 539  t = 1.540000000000011
writing time step 546  t = 1.5600000000000112
writing time step 553  t = 1.5800000000000114
writing time step 560  t = 1.6000000000000116
writing time step 567  t = 1.6200000000000119
writing time step 574  t = 1.6400000000000121
writing time step 581  t = 1.6600000000000124
writing time step 588  t = 1.6800000000000126
writing time step 595  t = 1.7000000000000128
writing time step 602  t = 1.720000000000013
writing time step 609  t = 1.7400000000000133
writing time step 616  t = 1.7600000000000136
writing time step 623  t = 1.7800000000000138
writing time step 630  t = 1.800000000000014
writing time step 637  t = 1.8200000000000143
writing time step 644  t = 1.8400000000000145
writing time step 651  t = 1.8600000000000148
writing time step 658  t = 1.880000000000015
writing time step 665  t = 1.9000000000000152
writing time step 672  t = 1.9200000000000155
writing time step 679  t = 1.9400000000000157
writing time step 686  t = 1.960000000000016
writing time step 693  t = 1.9800000000000162
writing time step 700  t = 2.0
