writing time step 141  t = 0.05035714285714277
writing time step 282  t = 0.10071428571428599
writing time step 423  t = 0.15107142857142944
writing time step 564  t = 0.2014285714285729
writing time step 705  t = 0.2517857142857162
writing time step 846  t = 0.30214285714285577
writing time step 987  t = 0.3524999999999953
writing time step 1128  t = 0.40285714285713486
writing time step 1269  t = 0.4532142857142744
writing time step 1410  t = 0.503571428571414
writing time step 1551  t = 0.5539285714285536
writing time step 1692  t = 0.6042857142856931
writing time step 1833  t = 0.6546428571428327
writing time step 1974  t = 0.7049999999999722
writing time step 2115  t = 0.7553571428571118
writing time step 2256  t = 0.8057142857142513
writing time step 2397  t = 0.8560714285713908
writing time step 2538  t = 0.9064285714285304
writing time step 2679  t = 0.9567857142856699
writing time step 2820  t = 1.0071428571428116
writing time step 2961  t = 1.0574999999999668
writing time step 3102  t = 1.107857142857122
writing time step 3243  t = 1.1582142857142772
writing time step 3384  t = 1.2085714285714324
writing time step 3525  t = 1.2589285714285876
writing time step 3666  t = 1.3092857142857428
writing time step 3807  t = 1.359642857142898
writing time step 3948  t = 1.4100000000000532
writing time step 4089  t = 1.4603571428572084
writing time step 4230  t = 1.5107142857143636
writing time step 4371  t = 1.5610714285715188
writing time step 4512  t = 1.611428571428674
writing time step 4653  t = 1.6617857142858292
writing time step 4794  t = 1.7121428571429844
writing time step 4935  t = 1.7625000000001396
writing time step 5076  t = 1.8128571428572948
writing time step 5217  t = 1.86321428571445
writing time step 5358  t = 1.9135714285716052
writing time step 5499  t = 1.9639285714287604
writing time step 5640  t = 2.0142857142859065
writing time step 5781  t = 2.0646428571430304
writing time step 5922  t = 2.1150000000001543
writing time step 6063  t = 2.165357142857278
writing time step 6204  t = 2.215714285714402
writing time step 6345  t = 2.266071428571526
writing time step 6486  t = 2.31642857142865
writing time step 6627  t = 2.366785714285774
writing time step 6768  t = 2.4171428571428977
writing time step 6909  t = 2.4675000000000216
writing time step 7050  t = 2.5178571428571455
writing time step 7191  t = 2.5682142857142694
writing time step 7332  t = 2.6185714285713932
writing time step 7473  t = 2.668928571428517
writing time step 7614  t = 2.719285714285641
writing time step 7755  t = 2.769642857142765
writing time step 7896  t = 2.819999999999889
writing time step 8037  t = 2.8703571428570127
writing time step 8178  t = 2.9207142857141366
writing time step 8319  t = 2.9710714285712605
writing time step 8460  t = 3.0214285714283844
writing time step 8601  t = 3.0717857142855083
writing time step 8742  t = 3.122142857142632
writing time step 8883  t = 3.172499999999756
writing time step 9024  t = 3.22285714285688
writing time step 9165  t = 3.273214285714004
writing time step 9306  t = 3.3235714285711278
writing time step 9447  t = 3.3739285714282516
writing time step 9588  t = 3.4242857142853755
writing time step 9729  t = 3.4746428571424994
writing time step 9870  t = 3.5249999999996233
writing time step 10011  t = 3.575357142856747
writing time step 10152  t = 3.625714285713871
writing time step 10293  t = 3.676071428570995
writing time step 10434  t = 3.726428571428119
writing time step 10575  t = 3.776785714285243
writing time step 10716  t = 3.8271428571423667
writing time step 10857  t = 3.8774999999994906
writing time step 10998  t = 3.9278571428566145
writing time step 11139  t = 3.9782142857137384
writing time step 11280  t = 4.028571428570897
writing time step 11421  t = 4.078928571428084
writing time step 11562  t = 4.12928571428527
writing time step 11703  t = 4.179642857142457
writing time step 11844  t = 4.229999999999643
writing time step 11985  t = 4.28035714285683
writing time step 12126  t = 4.330714285714016
writing time step 12267  t = 4.381071428571203
writing time step 12408  t = 4.431428571428389
writing time step 12549  t = 4.481785714285576
writing time step 12690  t = 4.532142857142762
writing time step 12831  t = 4.582499999999949
writing time step 12972  t = 4.6328571428571355
writing time step 13113  t = 4.683214285714322
writing time step 13254  t = 4.7335714285715085
writing time step 13395  t = 4.783928571428695
writing time step 13536  t = 4.8342857142858815
writing time step 13677  t = 4.884642857143068
writing time step 13818  t = 4.9350000000002545
writing time step 13959  t = 4.985357142857441
