writing time step 91  t = 0.020000000000000018
writing time step 182  t = 0.04
writing time step 273  t = 0.059999999999999803
writing time step 364  t = 0.08000000000000015
writing time step 455  t = 0.10000000000000059
writing time step 546  t = 0.12000000000000102
writing time step 637  t = 0.14000000000000146
writing time step 728  t = 0.1600000000000019
writing time step 819  t = 0.18000000000000232
writing time step 910  t = 0.20000000000000276
writing time step 1001  t = 0.2200000000000032
writing time step 1092  t = 0.24000000000000363
writing time step 1183  t = 0.2600000000000028
writing time step 1274  t = 0.2800000000000007
writing time step 1365  t = 0.2999999999999986
writing time step 1456  t = 0.3199999999999965
writing time step 1547  t = 0.3399999999999944
writing time step 1638  t = 0.3599999999999923
writing time step 1729  t = 0.37999999999999023
writing time step 1820  t = 0.39999999999998814
writing time step 1911  t = 0.41999999999998605
writing time step 2002  t = 0.43999999999998396
writing time step 2093  t = 0.45999999999998187
writing time step 2184  t = 0.4799999999999798
writing time step 2275  t = 0.4999999999999777
writing time step 2366  t = 0.5199999999999756
writing time step 2457  t = 0.5399999999999735
writing time step 2548  t = 0.5599999999999714
writing time step 2639  t = 0.5799999999999693
writing time step 2730  t = 0.5999999999999672
writing time step 2821  t = 0.6199999999999651
writing time step 2912  t = 0.639999999999963
writing time step 3003  t = 0.659999999999961
writing time step 3094  t = 0.6799999999999589
writing time step 3185  t = 0.6999999999999568
writing time step 3276  t = 0.7199999999999547
writing time step 3367  t = 0.7399999999999526
writing time step 3458  t = 0.7599999999999505
writing time step 3549  t = 0.7799999999999484
writing time step 3640  t = 0.7999999999999463
writing time step 3731  t = 0.8199999999999442
writing time step 3822  t = 0.8399999999999421
writing time step 3913  t = 0.85999999999994
writing time step 4004  t = 0.8799999999999379
writing time step 4095  t = 0.8999999999999359
writing time step 4186  t = 0.9199999999999338
writing time step 4277  t = 0.9399999999999317
writing time step 4368  t = 0.9599999999999296
writing time step 4459  t = 0.9799999999999275
writing time step 4550  t = 0.9999999999999254
writing time step 4641  t = 1.0199999999999334
writing time step 4732  t = 1.0399999999999414
writing time step 4823  t = 1.0599999999999494
writing time step 4914  t = 1.0799999999999574
writing time step 5005  t = 1.0999999999999654
writing time step 5096  t = 1.1199999999999735
writing time step 5187  t = 1.1399999999999815
writing time step 5278  t = 1.1599999999999895
writing time step 5369  t = 1.1799999999999975
writing time step 5460  t = 1.2000000000000055
writing time step 5551  t = 1.2200000000000135
writing time step 5642  t = 1.2400000000000215
writing time step 5733  t = 1.2600000000000295
writing time step 5824  t = 1.2800000000000376
writing time step 5915  t = 1.3000000000000456
writing time step 6006  t = 1.3200000000000536
writing time step 6097  t = 1.3400000000000616
writing time step 6188  t = 1.3600000000000696
writing time step 6279  t = 1.3800000000000776
writing time step 6370  t = 1.4000000000000856
writing time step 6461  t = 1.4200000000000936
writing time step 6552  t = 1.4400000000001016
writing time step 6643  t = 1.4600000000001097
writing time step 6734  t = 1.4800000000001177
writing time step 6825  t = 1.5000000000001257
writing time step 6916  t = 1.5200000000001337
writing time step 7007  t = 1.5400000000001417
writing time step 7098  t = 1.5600000000001497
writing time step 7189  t = 1.5800000000001577
writing time step 7280  t = 1.6000000000001657
writing time step 7371  t = 1.6200000000001737
writing time step 7462  t = 1.6400000000001818
writing time step 7553  t = 1.6600000000001898
writing time step 7644  t = 1.6800000000001978
writing time step 7735  t = 1.7000000000002058
writing time step 7826  t = 1.7200000000002138
writing time step 7917  t = 1.7400000000002218
writing time step 8008  t = 1.7600000000002298
writing time step 8099  t = 1.7800000000002378
writing time step 8190  t = 1.8000000000002458
writing time step 8281  t = 1.8200000000002539
writing time step 8372  t = 1.8400000000002619
writing time step 8463  t = 1.8600000000002699
writing time step 8554  t = 1.880000000000278
writing time step 8645  t = 1.900000000000286
writing time step 8736  t = 1.920000000000294
writing time step 8827  t = 1.940000000000302
writing time step 8918  t = 1.96000000000031
writing time step 9009  t = 1.980000000000318
writing time step 9100  t = 2.0
