writing time step 49  t = 0.020000000000000007
writing time step 98  t = 0.04
writing time step 147  t = 0.0599999999999999
writing time step 196  t = 0.0800000000000001
writing time step 245  t = 0.10000000000000034
writing time step 294  t = 0.12000000000000058
writing time step 343  t = 0.14000000000000082
writing time step 392  t = 0.16000000000000106
writing time step 441  t = 0.1800000000000013
writing time step 490  t = 0.20000000000000154
writing time step 539  t = 0.22000000000000178
writing time step 588  t = 0.24000000000000202
writing time step 637  t = 0.26000000000000223
writing time step 686  t = 0.28000000000000247
writing time step 735  t = 0.3000000000000027
writing time step 784  t = 0.32000000000000295
writing time step 833  t = 0.3400000000000032
writing time step 882  t = 0.36000000000000343
writing time step 931  t = 0.38000000000000367
writing time step 980  t = 0.4000000000000039
writing time step 1029  t = 0.42000000000000415
writing time step 1078  t = 0.4400000000000044
writing time step 1127  t = 0.4600000000000046
writing time step 1176  t = 0.48000000000000487
writing time step 1225  t = 0.5000000000000051
writing time step 1274  t = 0.5200000000000053
writing time step 1323  t = 0.5400000000000056
writing time step 1372  t = 0.5600000000000058
writing time step 1421  t = 0.5800000000000061
writing time step 1470  t = 0.6000000000000063
writing time step 1519  t = 0.6200000000000065
writing time step 1568  t = 0.6400000000000068
writing time step 1617  t = 0.660000000000007
writing time step 1666  t = 0.6800000000000073
writing time step 1715  t = 0.7000000000000075
writing time step 1764  t = 0.7200000000000077
writing time step 1813  t = 0.740000000000008
writing time step 1862  t = 0.7600000000000082
writing time step 1911  t = 0.7800000000000085
writing time step 1960  t = 0.8000000000000087
writing time step 2009  t = 0.8200000000000089
writing time step 2058  t = 0.8400000000000092
writing time step 2107  t = 0.8600000000000094
writing time step 2156  t = 0.8800000000000097
writing time step 2205  t = 0.9000000000000099
writing time step 2254  t = 0.9200000000000101
writing time step 2303  t = 0.9400000000000104
writing time step 2352  t = 0.9600000000000106
writing time step 2401  t = 0.9800000000000109
writing time step 2450  t = 1.000000000000011
writing time step 2499  t = 1.0200000000000113
writing time step 2548  t = 1.0400000000000116
writing time step 2597  t = 1.0600000000000118
writing time step 2646  t = 1.080000000000012
writing time step 2695  t = 1.1000000000000123
writing time step 2744  t = 1.1200000000000125
writing time step 2793  t = 1.1400000000000128
writing time step 2842  t = 1.160000000000013
writing time step 2891  t = 1.1800000000000133
writing time step 2940  t = 1.2000000000000135
writing time step 2989  t = 1.2200000000000137
writing time step 3038  t = 1.240000000000014
writing time step 3087  t = 1.2600000000000142
writing time step 3136  t = 1.2800000000000145
writing time step 3185  t = 1.3000000000000147
writing time step 3234  t = 1.320000000000015
writing time step 3283  t = 1.3400000000000152
writing time step 3332  t = 1.3600000000000154
writing time step 3381  t = 1.3800000000000157
writing time step 3430  t = 1.400000000000016
writing time step 3479  t = 1.4200000000000161
writing time step 3528  t = 1.4400000000000164
writing time step 3577  t = 1.4600000000000166
writing time step 3626  t = 1.4800000000000169
writing time step 3675  t = 1.500000000000017
writing time step 3724  t = 1.5200000000000173
writing time step 3773  t = 1.5400000000000176
writing time step 3822  t = 1.5600000000000178
writing time step 3871  t = 1.580000000000018
writing time step 3920  t = 1.6000000000000183
writing time step 3969  t = 1.6200000000000185
writing time step 4018  t = 1.6400000000000188
writing time step 4067  t = 1.660000000000019
writing time step 4116  t = 1.6800000000000193
writing time step 4165  t = 1.7000000000000195
writing time step 4214  t = 1.7200000000000197
writing time step 4263  t = 1.74000000000002
writing time step 4312  t = 1.7600000000000202
writing time step 4361  t = 1.7800000000000205
writing time step 4410  t = 1.8000000000000207
writing time step 4459  t = 1.820000000000021
writing time step 4508  t = 1.8400000000000212
writing time step 4557  t = 1.8600000000000214
writing time step 4606  t = 1.8800000000000217
writing time step 4655  t = 1.900000000000022
writing time step 4704  t = 1.9200000000000221
writing time step 4753  t = 1.9400000000000224
writing time step 4802  t = 1.9600000000000226
writing time step 4851  t = 1.9800000000000229
writing time step 4900  t = 2.0
